species,wood_density
Arytera divaricata,0.633
Arytera littoralis,0.77
Aspidosperma album,0.7661666666666668
Aspidosperma araracanga,0.75
Aspidosperma australe,0.7404
Aspidosperma capitatum,0.73
Aspidosperma curranii,0.73
Aspidosperma cuspa,0.83
Aspidosperma cylindrocarpon,0.6366666666666666
Aspidosperma decussatum,0.792
Aspidosperma desmanthum,0.61
Aspidosperma discolor,0.758
Aspidosperma excelsum,0.792
Aspidosperma macrocarpon,0.71
Aspidosperma marcgravianum,0.7325
Aspidosperma megalocarpon,0.7774
Aspidosperma megaphyllum,0.673
Aspidosperma nitidum,0.7635000000000001
Aspidosperma oblongum,0.865
Aspidosperma obscurinervium,0.86
Aspidosperma parvifolium,0.781
Aspidosperma peroba,0.65
Aspidosperma polyneuron,0.7384285714285715
Aspidosperma pyrifolium,0.79
Aspidosperma quebracho-blanco,0.75275
Aspidosperma ramiflorum,0.71
Aspidosperma rigidum,0.46
Aspidosperma sandwithianum,0.792
Aspidosperma sessiliflorum,0.7915
Aspidosperma spruceanum,0.7533333333333333
Aspidosperma subincanum,0.82
Aspidosperma tomentosum,0.82
Aspidosperma verruculosum,0.94
Asteranthos brasiliensis,0.67
Asteropeia rhopaloides,0.8026666666666666
Astrocaryum murumuru,0.508
Astronia atro-viridis,0.54
Astronia gracilis,0.4
Astronia macrophylla,0.45
Astronia spectabilis,0.45
Astronium balansae,0.9673333333333334
Astronium concinnum,1.07
Astronium fraxinifolium,0.85
Astronium gracile,0.73
Astronium graveolens,0.8676923076923077
Astronium lecointei,0.7903333333333333
Astronium ulei,0.7035
Astronium urundeuva,1.0031666666666668
Atalaya australiana,0.732
Atalaya salicifolia,0.7253333333333334
Atherosperma moschatum,0.505
Athrotaxis selaginoides,0.346
Atractocarpus fitzalanii,0.719
Atractocarpus merikin,0.804
Attalea butyracea,0.326
Atuna racemosa,0.665
Aucoumea klaineana,0.3778518518518518
Aulacocalyx diervilleoides,0.564
Auranticarpa rhombifolia,0.679
Austrocedrus chilensis,0.426
Austromatthaea elegans,0.73
Austromuellera trinervia,0.594
Autranella congolensis,0.7517777777777778
Auxemma glazioviana,0.84
Averrhoa bilimbi,0.5
Averrhoa carambola,0.5768
Avicennia alba,0.5866666666666668
Avicennia germinans,0.7764
Avicennia intermedia,0.64
Avicennia marina,0.64775
Avicennia nitida,0.9
Avicennia officinalis,0.605
Avicennia tonduzii,0.64
Azadirachta excelsa,0.505
Azadirachta indica,0.64
Baccaurea bracteata,0.635
Baccaurea deflexa,0.57
Baccaurea javanica,0.55
Baccaurea kingii,0.72
Baccaurea kunstleri,0.645
Baccaurea macrocarpa,0.54
Baccaurea minor,0.72
Baccaurea motleyana,0.51
Baccaurea parviflora,0.72
Baccaurea polyneura,0.56
Baccaurea racemosa,0.5800000000000001
Baccaurea reticulata,0.78
Baccaurea sumatrana,0.605
Baccharis latifolia,0.561
Baccharis pilularis,0.59
Backhousia bancroftii,0.8380000000000001
Backhousia citriodora,0.827
Backhousia hughesii,0.87
Backhousia myrtifolia,0.8795
Baeckea frutescens,0.81
Bagassa guianensis,0.7086666666666667
Baikiaea insignis,0.6865
Baikiaea plurijuga,0.76075
Baillonella djave,0.621
Baillonella toxisperma,0.7249
Balanites aegyptiaca,0.6743333333333333
Balanites aegyptiacus,0.65
Balanites triflorus,0.661
Balanops australiana,0.735
Balfourodendron riedelianum,0.6664285714285715
Balizia elegans,0.495
Balizia pedicellaris,0.49700000000000005
Baloghia inophylla,0.618
Banara arguta,0.75
Banara guianensis,0.61
Banara nitida,0.6014999999999999
Banksia aemula,0.5508000000000001
Banksia elderiana,0.764
Banksia integrifolia,0.482
Banksia marginata,0.468
Banksia serrata,0.567
Banksia verticillata,0.406
Baphia kirkii,0.985
Baphia nitida,0.5589999999999999
Barringtonia acutangula,0.5246666666666666
Barringtonia asiatica,0.42225
Barringtonia calyptrata,0.4625
Barringtonia edulis,0.48
