genus,wood_density
Dryadodaphne,0.5095000000000001
Dryandra,0.808
Dryobalanops,0.6092307692307692
Drypetes,0.7067692307692308
Duabanga,0.351
Duboisia,0.566
Duckeodendron,0.6343333333333333
Duckesia,0.8180000000000001
Duguetia,0.7241176470588235
Dulacia,0.5690000000000001
Duranta,0.561
Durio,0.5467857142857143
Duroia,0.772
Dussia,0.5523333333333333
Dyera,0.33599999999999997
Dysoxylum,0.5905471698113207
Ecclinusa,0.6691
Ehretia,0.5043529411764706
Ekebergia,0.4568
Elaeagnus,0.4816666666666667
Elaeocarpus,0.4885774647887324
Elaeodendron,0.7428
Elateriospermum,0.785
Elattostachys,0.6415
Eleutherandra,0.85
Eleutherococcus,0.44
Elizabetha,0.82
Elmerrillia,0.39433333333333337
Elvasia,0.7533333333333333
Embothrium,0.525
Emmenosperma,0.7284999999999999
Emmotum,0.7943333333333333
Endertia,0.55
Endiandra,0.6558181818181819
Endlicheria,0.5043
Endodesmia,0.6789999999999999
Endopleura,0.7944285714285714
Endospermum,0.3497692307692307
Engelhardtia,0.4419230769230769
Enicosanthum,0.49333333333333335
Entandrophragma,0.535546875
Enterolobium,0.524258064516129
Eperua,0.7363157894736843
Ephedranthus,0.816
Eremophila,0.7751111111111111
Eribroma,0.6384545454545454
Eriobotrya,0.79025
Eriocoelum,0.523
Eriodictyon,0.54
Eriolaena,0.703
Eriotheca,0.454
Erisma,0.5358
Erismadelphus,0.6071
Erythrina,0.27282758620689657
Erythrochiton,0.45
Erythrophleum,0.8217027027027026
Erythrospermum,0.42
Erythroxylum,0.7204814814814815
Escallonia,0.5673333333333334
Eschweilera,0.8313906249999999
Esenbeckia,1.0485
Etaballia,0.92
Eucalyptopsis,0.46
Eucalyptus,0.8035260869565217
Euclea,0.7406666666666667
Eucryphia,0.5433333333333333
Eugenia,0.7307415730337079
Euodia,0.4702777777777778
Euonymus,0.5543333333333333
Euphorbia,0.47050000000000003
Euphronia,0.62
Euplassa,0.5733333333333334
Eupomatia,0.5780000000000001
Euptelea,0.5425
Euroschinus,0.40025
Eurya,0.52
Eurycoma,0.505
Eusideroxylon,0.7866666666666666
Euterpe,0.38766666666666666
Euxylophora,0.6316666666666667
Exbucklandia,0.5855
Excoecaria,0.48469999999999996
Exellodendron,0.925
Exocarpos,0.7747999999999999
Exostema,0.995
Exothea,0.73
Fagaropsis,0.504
Fagraea,0.7386666666666667
Fagus,0.5908888888888888
Faidherbia,0.5625
Falcatifolium,0.57
Faramea,0.5840000000000001
Faucherea,0.9071999999999999
Faurea,0.7253333333333334
Ferdinandusa,0.7250000000000001
Fernandoa,0.505
Feroniella,0.75
Ficalhoa,0.57
Ficus,0.4099602649006623
Filicium,0.96
Fillaeopsis,0.501
Firmiana,0.3674
Fitzroya,0.43
Flacourtia,0.7734
Flindersia,0.6247173913043478
Foetidia,0.8765000000000001
Fokienia,0.389
Forchhammeria,0.84
Fordia,0.64
Franciscodendron,0.3875
Fraxinus,0.545235294117647
Freziera,0.58
Fuchsia,0.696
Funtumia,0.424
Fusaea,0.7426666666666666
Galbulimima,0.5082222222222222
Galearia,0.635
Galipea,0.997
Gallesia,0.51
Ganophyllum,0.70375
Garcinia,0.7343188405797101
Gardenia,0.6713846153846154
Garuga,0.5688333333333333
Gastonia,0.32
Gavarretia,0.65
Geijera,0.8544999999999999
Geissois,0.5242222222222223
Geissospermum,0.77675
Genipa,0.6543333333333333
Geoffroea,0.6046
Gevuina,0.538
Gilbertiodendron,0.6595333333333334
Gillbeea,0.456
