site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
JAM_A01,88,Cedrelinga cateniformis,Fabaceae,522962.1583,8997872.096,0.5,12.66799011,100.0,49.4,34.85,20111208,A,O,T07,38.96,38.96,feldpausch_regional,0.18,default,0.0,100.0,38.96
JAM_A01,89,Virola mollissima,Myristicaceae,522955.3041,8997875.008,0.48,1.981662404,45.5,39.49,30.53,20111208,A,O,T07,27.91,27.91,feldpausch_regional,0.18,default,0.0,45.5,27.91
JAM_A01,90,Virola michelii,Myristicaceae,522953.8658,8997893.177,0.47,0.392212545,24.9,26.44,18.51,20111208,A,O,T07,19.75,19.75,feldpausch_regional,0.18,default,0.0,24.9,19.75
JAM_A01,91,Astronium gracile,Anacardiaceae,522961.5827,8997894.873,0.73,13.76493093,90.0,45.73,21.91,20111208,A,O,T07,37.61,37.61,feldpausch_regional,0.18,default,0.0,90.0,37.61
JAM_A01,92,Helicostylis sp.,Moraceae,522957.2696,8997897.017,0.65,2.05509621,49.8,24.95,14.07,20111208,A,O,T07,29.22,29.22,feldpausch_regional,0.18,default,0.0,49.8,29.22
JAM_A01,93,Inga thibaudiana,Fabaceae,522952.9873,8997908.256,0.58,0.128251556,14.5,20.79,14.82,20111208,A,O,T07,13.82,13.82,feldpausch_regional,0.18,default,0.0,14.5,13.82
JAM_A01,94,Protium paniculatum,Burseraceae,522952.3986,8997913.845,0.49,0.013063759,7.3,9.83,7.22,20111208,A,O,T07,8.43,8.43,feldpausch_regional,0.18,default,0.0,7.3,8.43
JAM_A01,95,NI,NI,522952.6387,8997916.946,0.45,0.034408054,15.8,7.24,,20111208,D,O,T07,14.66,14.66,feldpausch_regional,0.18,default,0.0,15.8,14.66
JAM_A01,96,Vochysia guianensis,Vochysiaceae,522951.653,8997930.224,0.51,0.011118542,6.0,11.93,8.68,20111208,A,O,T07,7.27,7.27,feldpausch_regional,0.18,default,0.0,6.0,7.27
JAM_A01,97,Luehea sp.,Malvaceae,522951.656,8997937.919,0.51,0.123307415,17.0,16.54,12.86,20111208,A,O,T07,15.41,15.41,feldpausch_regional,0.18,default,0.0,17.0,15.41
