site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,htot_feldpausch
FN_A01,23,Hymenolobium petraeum,Fabaceae,80.557.565.439.792,86.714.237.714.432,56.5,25.52,15.77,False,O,31.06
FN_A01,24,Dipteryx odorata,Fabaceae,8.055.760.419.148,8.671.416.644.308,47.4,27.9,18.14,False,O,28.51
FN_A01,25,Licania octandra,Chrysobalanaceae,805.583.413.606,867.141.929.626,40.5,19.23,12.11,False,O,26.25
FN_A01,26,,,805.577.760.004,867.143.269.684,47.0,26.97,,True,O,28.38
FN_A01,27,Neea oppositifolia,Nyctaginaceae,8.055.808.403.776,8.671.402.744.696,49.7,18.27,13.51,False,O,29.19
FN_A01,28,Aniba parviflora,Lauraceae,805.585.821.282.832,867.140.030.132.272,41.6,1.07,0.76,False,O,26.63
FN_A01,29,Pouteria gongrijpii,Sapotaceae,805.588.343.539.096,867.139.838.447.416,36.3,20.79,17.29,False,O,24.71
FN_A01,30,Protium paniculatum,Burseraceae,8.055.096.956.568,8.671.519.120.504,13.6,8.22,4.85,False,O,13.22
FN_A01,31,Guatteria schomburgkiana,Annonaceae,80.551.134.000.504,86.715.197.272.912,11.6,12.78,8.33,False,O,11.82
FN_A01,32,Eriotheca globosa,Malvaceae,805.510.735.575.782,867.152.147.732.147,13.3,8.97,6.86,False,O,13.02
FN_A01,33,Ocotea cernua,Lauraceae,80.550.850.079.552,86.715.285.440.656,20.5,17.02,9.02,False,O,17.45
FN_A01,34,Vismia guianensis,Hypericaceae,80.550.566.335.152,86.715.307.969.456,12.4,8.08,4.72,False,O,12.39
FN_A01,35,Cecropia palmata,Urticaceae,805.505.669.088.077,86.715.415.114.983,20.1,16.42,12.87,False,O,17.22
