site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
HUM_A01,47,Vitex triflora,Lamiaceae,646593.2209,8921615.762,48.1,25.27,12.35,20140627,False,O,4,28.72,28.72,feldpausch_regional,0.18,default,-1.0,47.92,28.66
HUM_A01,48,Byrsonima crispa,Malpighiaceae,646584.8895,8921608.871,35.5,16.76,13.12,20140627,False,O,4,24.4,24.4,feldpausch_regional,0.18,default,-1.0,35.32,24.33
HUM_A01,49,Eriotheca globosa,Malvaceae,646587.1567,8921604.019,10.3,6.23,3.91,20140627,False,O,4,10.85,10.85,feldpausch_regional,0.18,default,-1.0,10.12,10.71
HUM_A01,50,Inga alba,Fabaceae,646583.0132,8921594.825,13.6,9.86,6.96,20140627,False,O,4,13.22,13.22,feldpausch_regional,0.18,default,-1.0,13.42,13.1
HUM_A01,51,Eriotheca globosa,Malvaceae,646581.1476,8921596.996,12.0,12.97,9.86,20140627,False,O,4,12.11,12.11,feldpausch_regional,0.18,default,-1.0,11.82,11.98
HUM_A01,52,Pouteria sp.,Sapotaceae,646582.1391,8921603.206,14.8,7.93,6.16,20140627,False,O,4,14.02,14.02,feldpausch_regional,0.18,default,-1.0,14.62,13.9
HUM_A01,53,Vitex triflora,Lamiaceae,646575.6829,8921593.12,23.2,7.21,5.43,20140627,False,O,4,18.89,18.89,feldpausch_regional,0.18,default,-1.0,23.02,18.8
HUM_A01,54,Ceiba pentandra,Malvaceae,646573.57,8921593.731,52.2,25.87,17.74,20140627,False,O,4,29.91,29.91,feldpausch_regional,0.18,default,-1.0,52.02,29.86
HUM_A01,55,Sterculia pruriens,Malvaceae,646570.4233,8921594.007,19.9,15.84,12.19,20140627,False,O,4,17.11,17.11,feldpausch_regional,0.18,default,-1.0,19.72,17.01
HUM_A01,56,Spondias sp.,Anacardiaceae,646575.1202,8921588.01,33.8,24.37,17.45,20140627,False,O,4,23.73,23.73,feldpausch_regional,0.18,default,-1.0,33.62,23.66
HUM_A01,57,Astrocaryum murumuru,Arecaceae,646574.4398,8921588.671,17.6,10.74,5.67,20140627,False,P,4,15.77,15.77,feldpausch_regional,0.18,default,-1.0,17.42,15.66
HUM_A01,58,Protium hepytaphillum ,Burseraceae,646567.5256,8921579.524,18.4,15.38,12.05,20140627,False,O,4,16.25,16.25,feldpausch_regional,0.18,default,-1.0,18.22,16.14
HUM_A01,59,Castilla ulei,Moraceae,646565.7862,8921577.232,27.6,19.27,12.28,20140627,False,O,4,21.05,21.05,feldpausch_regional,0.18,default,-1.0,27.42,20.96
HUM_A01,60,,,646566.7187,8921580.707,10.4,12.26,,20140627,True,O,4,10.93,10.93,feldpausch_regional,0.18,default,-1.0,10.22,10.79
HUM_A01,61,Terminalia amazonia,Combretaceae,646545.4075,8921623.037,39.9,29.86,19.88,20140627,False,O,4,26.04,26.04,feldpausch_regional,0.18,default,-1.0,39.72,25.97
HUM_A01,62,Swartzia corrugata,Fabaceae,646548.0761,8921623.826,48.5,29.12,21.7,20140627,False,O,4,28.84,28.84,feldpausch_regional,0.18,default,-1.0,48.32,28.79
HUM_A01,63,Pouteria gongrijpii,Sapotaceae,646550.8501,8921628.332,38.0,24.89,19.38,20140627,False,O,4,25.35,25.35,feldpausch_regional,0.18,default,-1.0,37.82,25.28
HUM_A01,64,Ficus broadwayi,Moraceae,646566.8652,8921644.578,90.0,49.75,40.45,20140627,False,O,4,37.61,37.61,feldpausch_regional,0.18,default,-1.0,89.82,37.58
HUM_A01,2,Astrocaryum murumuru,Arecaceae,646449.0433,8921477.18,15.9,11.66,9.66,20140627,False,P,5,14.73,14.73,feldpausch_regional,0.18,default,-1.0,15.72,14.61
HUM_A01,3,,,646448.6088,8921477.478,14.0,1.72,,20140627,True,O,5,13.49,13.49,feldpausch_regional,0.18,default,-1.0,13.82,13.37
HUM_A01,4,Ceiba pentandra,Malvaceae,646445.1581,8921479.153,51.1,26.87,16.06,20140627,False,O,5,29.6,29.6,feldpausch_regional,0.18,default,-1.0,50.92,29.55
HUM_A01,5,Sterculia pruriens,Malvaceae,646446.6274,8921473.989,31.0,28.18,20.12,20140627,False,O,5,22.56,22.56,feldpausch_regional,0.18,default,-1.0,30.82,22.49
HUM_A01,6,,,646425.0202,8921457.303,37.1,3.02,,20140627,True,O,5,25.01,25.01,feldpausch_regional,0.18,default,-1.0,36.92,24.95
HUM_A01,7,Swietenia macrophylla ,Meliaceae,646417.6792,8921446.87,26.5,16.97,12.96,20140627,False,O,5,20.53,20.53,feldpausch_regional,0.18,default,-1.0,26.32,20.44
HUM_A01,8,Eschweilera grandifolia,Lecythidaceae,646396.7202,8921467.747,71.0,32.12,20.33,20140627,False,O,5,34.35,34.35,feldpausch_regional,0.18,default,-1.0,70.82,34.32
HUM_A01,9,Tamarindus indica,,646395.9125,8921469.918,66.5,27.09,16.88,20140627,False,O,5,33.42,33.42,feldpausch_regional,0.18,default,-1.0,66.32,33.38
HUM_A01,10,Ceiba pentandra,Malvaceae,646397.0898,8921485.845,36.2,16.85,11.01,20140627,False,O,5,24.67,24.67,feldpausch_regional,0.18,default,-1.0,36.02,24.6
HUM_A01,11,,,646424.3138,8921493.571,48.4,19.57,11.97,20140627,False,O,5,28.81,28.81,feldpausch_regional,0.18,default,-1.0,48.22,28.76
HUM_A01,12,Ceiba pentandra,Malvaceae,646407.5787,8921482.908,41.8,32.38,22.84,20140627,False,O,5,26.7,26.7,feldpausch_regional,0.18,default,-1.0,41.62,26.64
