site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
TAC_A01,105,Theobroma glaucum,Malvaceae,799929.6893,9725870.948,12.0,6.11,1.89,False,O,P01,12.11
TAC_A01,106,Theobroma glaucum,Malvaceae,799927.3602,9725868.946,11.2,5.61,0.84,False,O,P01,11.53
TAC_A01,107,Theobroma glaucum,Malvaceae,799925.0312,9725866.945,9.8,4.04,1.68,False,O,P01,10.47
TAC_A01,108,Theobroma glaucum,Malvaceae,799921.9257,9725864.276,11.8,4.57,0.82,False,O,P01,11.96
TAC_A01,109,Theobroma glaucum,Malvaceae,799919.5967,9725862.275,10.5,4.2,1.31,False,O,P01,11.0
TAC_A01,110,Theobroma glaucum,Malvaceae,799917.2676,9725860.274,10.2,4.54,1.12,False,O,P01,10.78
TAC_A01,112,Theobroma glaucum,Malvaceae,799914.9385,9725858.272,9.5,5.61,0.63,False,O,P01,10.23
TAC_A01,113,Theobroma glaucum,Malvaceae,799915.5248,9725854.75,8.3,5.27,1.58,False,O,P01,9.27
TAC_A01,114,Euterpe oleracea,Arecaceae,799917.0866,9725856.094,10.9,9.55,6.32,False,P,P01,11.3
TAC_A01,115,Euterpe oleracea,Arecaceae,799917.0866,9725856.094,10.8,11.55,6.95,False,P,P01,11.23
TAC_A01,116,Euterpe oleracea,Arecaceae,799917.0866,9725856.094,9.9,8.99,5.81,False,P,P01,10.55
TAC_A01,117,Theobroma glaucum,Malvaceae,799918.6484,9725857.439,9.0,4.03,1.05,False,O,P01,9.84
TAC_A01,118,Euterpe oleracea,Arecaceae,799920.2102,9725858.783,11.8,12.61,7.25,False,P,P01,11.96
TAC_A01,119,Euterpe oleracea,Arecaceae,799920.2102,9725858.783,11.5,10.93,8.64,False,P,P01,11.75
TAC_A01,120,Euterpe oleracea,Arecaceae,799920.2102,9725858.783,11.5,8.95,8.05,False,P,P01,11.75
TAC_A01,121,Theobroma glaucum,Malvaceae,799920.9911,9725859.455,10.2,4.25,1.05,False,O,P01,10.78
TAC_A01,122,Theobroma glaucum,Malvaceae,799923.3337,9725861.472,15.0,5.33,0.94,False,O,P01,14.15
TAC_A01,123,Euterpe oleracea,Arecaceae,799924.8955,9725862.816,12.0,10.63,6.64,False,P,P01,12.11
TAC_A01,124,Euterpe oleracea,Arecaceae,799924.8955,9725862.816,12.2,10.36,6.67,False,P,P01,12.25
TAC_A01,125,Euterpe oleracea,Arecaceae,799924.8955,9725862.816,8.0,6.91,4.04,False,P,P01,9.02
TAC_A01,126,Euterpe oleracea,Arecaceae,799924.8955,9725862.816,10.8,10.17,7.52,False,P,P01,11.23
TAC_A01,127,Theobroma glaucum,Malvaceae,799925.6764,9725863.489,11.7,5.31,0.99,False,O,P01,11.89
TAC_A01,128,Theobroma glaucum,Malvaceae,799932.7044,9725869.539,9.4,3.83,0.48,False,O,P01,10.16
TAC_A01,129,Euterpe oleracea,Arecaceae,799933.4853,9725870.211,11.3,9.11,7.01,False,P,P01,11.6
TAC_A01,130,Euterpe oleracea,Arecaceae,799934.2661,9725870.883,9.7,7.64,1.68,False,P,P01,10.39
TAC_A01,131,Euterpe oleracea,Arecaceae,799934.2661,9725870.883,10.3,9.19,6.77,False,P,P01,10.85
TAC_A01,132,Theobroma glaucum,Malvaceae,799933.4853,9725870.211,9.4,4.53,0.94,False,O,P01,10.16
TAC_A01,133,Theobroma glaucum,Malvaceae,799934.8909,9725871.421,10.0,4.85,0.95,False,O,P01,10.62
TAC_A01,134,Theobroma glaucum,Malvaceae,799935.2032,9725871.69,8.7,4.75,1.88,False,O,P01,9.6
TAC_A01,135,Euterpe oleracea,Arecaceae,799935.2032,9725871.69,11.2,10.65,6.49,False,P,P01,11.53
TAC_A01,136,Euterpe oleracea,Arecaceae,799935.2032,9725871.69,10.1,8.23,6.46,False,P,P01,10.7
TAC_A01,137,Euterpe oleracea,Arecaceae,799935.2032,9725871.69,11.3,10.29,7.67,False,P,P01,11.6
TAC_A01,138,Euterpe oleracea,Arecaceae,799936.6088,9725872.9,13.3,4.91,1.45,False,P,P01,13.02
TAC_A01,139,Theobroma glaucum,Malvaceae,799938.8702,9725870.849,7.6,4.8,1.18,False,O,P01,8.68
TAC_A01,140,Theobroma glaucum,Malvaceae,799936.5139,9725868.817,12.8,5.77,1.47,False,O,P01,12.67
TAC_A01,141,Theobroma glaucum,Malvaceae,799933.3722,9725866.108,11.2,4.0,1.24,False,O,P01,11.53
TAC_A01,142,Theobroma glaucum,Malvaceae,799931.016,9725864.076,7.3,5.16,1.45,False,O,P01,8.43
TAC_A01,143,Theobroma glaucum,Malvaceae,799929.0524,9725862.383,10.5,4.06,0.71,False,O,P01,11.0
TAC_A01,144,Theobroma glaucum,Malvaceae,799926.6962,9725860.351,9.5,4.1,1.2,False,O,P01,10.23
