site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
FNA_A01,35,Oenocarpus bacaba,Arecaceae,715071.2588,8617172.473,0.65,0.048475812,14.9,8.38,6.54,A,P,T04,14.08
FNA_A01,36,,,715094.4285,8617161.702,0.58,0.034406147,17.1,4.37,,D,O,T04,15.47
FNA_A01,37,,,715096.8006,8617159.718,0.58,0.648759588,43.0,16.63,,D,O,T04,27.1
FNA_A01,38,,,715097.503,8617167.392,0.58,0.289606344,26.8,19.71,,D,O,T04,20.67
FNA_A01,39,,,715098.7439,8617177.818,0.58,1.421307212,52.4,26.75,,D,O,T04,29.96
FNA_A01,40,,,715092.221,8617197.939,0.7,0.237552339,23.3,17.31,,D,O,T04,18.94
FNA_A01,41,,,715089.4058,8617202.484,0.58,0.8129594,47.0,17.63,,D,O,T04,28.38
FNA_A01,42,,,715088.7242,8617206.425,0.58,0.155213396,24.1,11.92,,D,O,T04,19.35
FNA_A01,43,,,715089.1465,8617192.248,0.58,0.222635551,23.4,19.91,,D,O,T04,18.99
FNA_A01,44,Cordia scabrifolia,Boraginaceae,715081.9751,8617186.78,0.474,0.097343902,20.2,9.89,5.29,A,O,T04,17.28
FNA_A01,45,,,715061.0887,8617184.347,0.7,0.145333126,20.0,13.79,,D,O,T04,17.17
FNA_A01,46,,,715057.3651,8617309.557,0.58,0.020375384,15.9,2.75,,D,O,T04,14.73
FNA_A01,47,,,715030.6482,8617316.531,0.58,0.364465186,31.6,17.45,,D,O,T04,22.82
FNA_A01,48,,,715039.4476,8617313.638,0.58,0.045817018,15.8,7.53,,D,O,T04,14.66
FNA_A01,49,,,715041.3351,8617314.457,0.58,0.125201557,22.2,11.2,,D,O,T04,18.37
FNA_A01,50,,,715048.0752,8617316.535,0.58,0.066858112,16.5,10.75,,D,O,T04,15.1
FNA_A01,51,,,715047.5467,8617325.62,0.58,0.228186257,31.3,10.08,,D,O,T04,22.69
FNA_A01,52,,,715047.3185,8617303.081,0.58,0.083836205,20.0,8.86,,D,O,T04,17.17
FNA_A01,53,,,715066.5014,8617315.427,0.6,0.015585216,12.6,3.36,,D,O,T04,12.53
FNA_A01,54,Poeppigia sp.,Fabaceae,715073.5358,8617309.799,0.69,0.495863123,30.7,14.98,9.48,A,O,T04,22.43
FNA_A01,55,,,715073.2012,8617311.771,0.58,0.83370548,45.0,20.22,,D,O,T04,27.76
FNA_A01,56,,,715074.0188,8617348.749,0.7,0.414343828,29.0,20.01,,D,O,T04,21.68
FNA_A01,57,,,715046.6304,8617348.933,0.58,0.033361328,16.1,4.88,,D,O,T04,14.85
FNA_A01,58,,,715041.4098,8617349.843,0.58,0.945044443,38.4,34.73,,D,O,T04,25.5
FNA_A01,59,,,715029.9008,8617346.014,0.58,0.018554745,12.0,4.89,,D,O,T04,12.11
FNA_A01,60,,,715035.2149,8617338.582,0.7,0.324966129,24.3,22.91,,D,O,T04,19.45
FNA_A01,61,Aspidosperma nitidum,Apocynaceae,715027.3737,8617331.052,0.763327689,1.090470579,35.5,22.27,13.13,A,O,T04,24.4
FNA_A01,62,,,715011.7829,8617447.441,0.58,0.017677039,14.3,3.0,,D,O,T04,13.69
FNA_A01,63,,,715009.5468,8617454.304,0.58,0.018701648,11.5,5.47,,D,O,T04,11.75
FNA_A01,64,Esenbeckia febrifuga,Rutaceae,715013.2153,8617456.488,0.64,0.019819103,8.5,8.42,3.19,A,O,T04,9.43
FNA_A01,65,,,715053.3187,8617459.133,0.58,0.240033879,28.8,13.14,,D,O,T04,21.59
FNA_A01,66,,,715045.5561,8617474.247,0.58,0.045951965,16.9,6.41,,D,O,T04,15.35
