tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch
56,Inga alba,Fabaceae,799338.413,9725901.104,23.8,False,O,1,19.2
1,Xylopia amazonica,Annonaceae,798732.4921,9726460.575,22.0,False,O,2,18.26
2,Banara guianensis,Salicaceae,798734.7654,9726462.634,11.8,False,O,2,11.96
3,Xylopia nitida,Annonaceae,798735.7897,9726466.587,14.4,False,O,2,13.76
4,Euterpe oleracea,Arecaceae,798736.3017,9726468.561,11.2,False,P,2,11.53
5,Euterpe oleracea,Arecaceae,798736.3877,9726468.51,12.2,False,P,2,12.25
6,Euterpe oleracea,Arecaceae,798736.4737,9726468.459,13.1,False,P,2,12.88
7,Xylopia amazonica,Annonaceae,798736.5372,9726468.99,28.5,False,O,2,21.46
8,Xylopia amazonica,Annonaceae,798735.9575,9726468.766,21.5,False,O,2,17.99
9,Euterpe oleracea,Arecaceae,798735.722,9726468.337,12.4,False,P,2,12.39
10,Tapirira guianensis,Anacardiaceae,798737.0677,9726467.877,13.2,False,O,2,12.95
11,Xylopia amazonica,Annonaceae,798741.9758,9726467.471,15.4,False,O,2,14.41
12,Tapirira guianensis,Anacardiaceae,798747.3026,9726468.899,33.0,False,O,2,23.4
13,Tapirira guianensis,Anacardiaceae,798746.3479,9726469.232,26.7,False,O,2,20.62
14,Tapirira guianensis,Anacardiaceae,798744.6269,9726470.246,19.9,False,O,2,17.11
15,Xylopia amazonica,Annonaceae,798745.9587,9726470.605,11.2,False,O,2,11.53
16,Tapirira guianensis,Anacardiaceae,798747.3848,9726471.138,18.1,False,O,2,16.07
17,Xylopia amazonica,Annonaceae,798749.6594,9726473.235,17.4,False,O,2,15.65
18,Guatteria schomburgkiana,Annonaceae,798745.1206,9726475.314,22.6,False,O,2,18.58
19,Vochysia vismiifolia,Vochysiaceae,798744.4956,9726476.247,17.5,False,O,2,15.71
20,Xylopia amazonica,Annonaceae,798753.1248,9726475.446,20.8,False,O,2,17.61
21,Euterpe oleracea,Arecaceae,798754.291,9726479.678,11.5,False,P,2,11.75
22,Euterpe oleracea,Arecaceae,798754.7215,9726479.43,10.1,False,P,2,10.7
23,Euterpe oleracea,Arecaceae,798756.5661,9726481.79,11.0,False,P,2,11.38
24,,,798754.8442,9726482.774,19.1,False,O,2,16.65
25,Euterpe oleracea,Arecaceae,798746.6651,9726487.448,11.0,False,P,2,11.38
26,Euterpe oleracea,Arecaceae,798749.7598,9726487.939,12.4,False,P,2,12.39
