site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh_2009,type_2009,dead_2009,hcom_2009,htot_2009,dbh_2011,type_2011,dead_2011,hcom_2011,htot_2011,plot_id
DUC_A01,1130,Apeiba petoumo,Malvaceae,173145.4958,9674181.533,13.1,O,False,8.32,13.1,13.5,O,False,9.27,14.21,T01
DUC_A01,1131,Sterculia pruriens,Malvaceae,173143.5306,9674189.996,12.2,O,False,9.31,16.82,13.2,O,False,11.75,18.33,T01
DUC_A01,1132,,,173142.2346,9674192.482,15.2,O,True,,4.45,15.2,O,True,0.38,4.73,T01
DUC_A01,1133,Helicostylis sp.,Moraceae,173141.4468,9674196.758,12.1,O,False,10.14,14.61,12.2,O,False,11.43,19.79,T01
DUC_A01,1134,Inga heterophylla,Fabaceae,173141.7602,9674198.504,15.9,O,False,15.54,19.99,16.1,O,False,16.74,19.78,T01
DUC_A01,1135,Bowdichia nitida,Fabaceae,173143.0265,9674198.798,38.1,O,False,21.71,28.94,38.0,O,False,22.19,29.44,T01
DUC_A01,1136,Poeppigia procera,Fabaceae,173140.9936,9674204.457,26.7,O,False,15.11,20.72,26.8,O,False,16.03,22.15,T01
DUC_A01,1137,Pterocarpus sp.,Fabaceae,173136.9744,9674216.902,9.0,O,False,11.07,14.9,9.1,O,False,11.23,14.97,T01
DUC_A01,1138,Eschweilera coriacea,Lecythidaceae,173140.3328,9674218.797,45.0,O,False,20.67,25.23,45.3,O,False,18.57,25.19,T01
DUC_A01,1139,Lecythis lurida,Lecythidaceae,173136.627,9674220.166,11.9,O,False,9.84,15.48,12.1,O,False,11.45,13.51,T01
DUC_A01,1140,Protium paniculatum,Burseraceae,173135.6021,9674221.043,8.6,O,False,4.93,14.88,8.7,O,False,5.08,13.42,T01
DUC_A01,1141,Protium paniculatum,Burseraceae,173134.916,9674223.114,7.6,O,False,7.86,12.27,7.7,O,False,7.21,13.59,T01
DUC_A01,1142,Protium paniculatum,Burseraceae,173133.6624,9674228.954,10.5,O,False,9.82,18.15,11.2,O,False,10.65,18.98,T01
DUC_A01,1143,Helicostylis sp.,Moraceae,173130.3461,9674243.235,6.9,O,False,5.01,8.02,7.0,O,False,5.38,8.26,T01
DUC_A01,1144,Ocotea canaliculata,Lauraceae,173132.938,9674251.084,49.9,O,False,23.61,35.48,50.0,O,False,25.56,29.86,T01
DUC_A01,1145,Casearia javitensis,Salicaceae,173127.6694,9674254.32,5.2,O,False,4.62,7.52,7.0,O,False,5.54,6.99,T01
DUC_A01,1146,Brosimum parinarioides,Moraceae,173129.9818,9674255.414,43.6,O,False,22.04,30.5,43.8,O,False,22.22,30.19,T01
DUC_A01,1147,Protium heptaphyllum,Burseraceae,173126.9342,9674259.693,6.9,O,False,5.15,9.52,7.0,O,False,8.01,14.0,T01
DUC_A01,1148,Lecythis idatimon,Lecythidaceae,173127.8736,9674266.4,33.6,O,False,23.02,27.64,34.1,O,False,21.08,30.02,T01
