site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2010,dead_2010,hcom_2009,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
TAP_A01,3114,,,727494.16,9664491.02,O,24.2,A,13.9,22.45,20100116-20100213,25.4,A,18.53,21.6,20110704-20110711,493.008928009,20.0,22.45,measured,1.2,observed,-2.0,23.0,21.09
TAP_A01,3115,,,727493.17,9664491.53,O,5.9,A,3.6,7.49,20100116-20100213,6.0,A,1.33,6.79,20110704-20110711,493.008928009,7.27,7.49,measured,0.1,observed,-2.0,5.8,7.3
TAP_A01,3116,,,727491.4,9664491.3,O,16.8,A,12.47,17.54,20100116-20100213,17.1,A,14.25,17.11,20110704-20110711,493.008928009,15.47,17.54,measured,0.3,observed,-2.0,16.5,17.12
TAP_A01,3117,,,727487.16,9664490.23,O,35.6,A,19.64,25.64,20100116-20100213,35.7,A,16.97,20.38,20110704-20110711,493.008928009,24.48,25.64,measured,0.1,observed,-2.0,35.5,25.56
TAP_A01,3118,,,727477.2,9664491.77,O,11.7,A,4.28,10.49,20100116-20100213,12.0,A,0.46,12.87,20110704-20110711,493.008928009,12.11,10.49,measured,0.3,observed,-2.0,11.4,10.11
TAP_A01,3119,,,727471.58,9664492.37,O,5.4,A,1.76,9.53,20100116-20100213,5.6,A,5.45,8.86,20110704-20110711,493.008928009,6.9,9.53,measured,0.2,observed,-2.0,5.2,9.01
TAP_A01,3120,,,727471.48,9664491.52,O,10.2,A,6.49,9.96,20100116-20100213,10.7,A,11.21,14.5,20110704-20110711,493.008928009,11.15,9.96,measured,0.5,observed,-2.0,9.7,9.28
TAP_A01,3121,,,727462.41,9664491.3,O,30.4,A,11.97,25.64,20100116-20100213,31.4,A,4.28,25.4,20110704-20110711,493.008928009,22.73,25.64,measured,1.0,observed,-2.0,29.4,24.66
TAP_A01,3122,,,727457.18,9664488.85,O,37.9,A,14.81,24.75,20100116-20100213,39.6,A,17.22,25.99,20110704-20110711,493.008928009,25.93,24.75,measured,1.7,observed,-2.0,36.2,23.55
TAP_A01,3123,,,727455.61,9664492.41,O,11.0,A,6.18,13.37,20100116-20100213,11.2,A,7.01,12.19,20110704-20110711,493.008928009,11.53,13.37,measured,0.2,observed,-2.0,10.8,13.02
TAP_A01,3124,,,727447.72,9664492.53,O,9.9,D,,2.11,20100116-20100213,9.9,D,,2.11,20110704-20110711,493.008928009,10.55,2.11,measured,0.0,observed,-2.0,9.9,2.11
