site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2016,dead_2016,hcom_2016,htot_2016,dbh_2018,dead_2018,plot_id
SAN_A01b,027a,Protium paniculatum,Burseraceae,736668.1229,9668347.182,O,12.4,False,,,12.7,False,4
SAN_A01b,028a,Minquartia guianensis,Olacaceae,736679.4549,9668348.055,O,59.0,False,12.55,23.61,59.7,False,4
SAN_A01b,029a,Pouteria gongrijpii,Sapotaceae,736676.2837,9668346.787,O,59.8,False,17.63,35.33,60.0,False,4
SAN_A01b,030a,Tetragastris panamensis,Burseraceae,736662.8401,9668342.981,O,15.8,False,,,16.0,False,4
SAN_A01b,031a,,,736659.7864,9668345.917,O,87.0,False,24.77,44.41,89.4,False,4
SAN_A01b,032a,,,736657.2736,9668348.628,O,29.1,False,,,29.5,False,4
SAN_A01b,033a,Lecythis idatimon,Lecythidaceae,736653.7943,9668353.855,O,11.1,False,,,11.6,False,4
SAN_A01b,034a,Protium paniculatum,Burseraceae,736664.0613,9668351.645,O,16.0,False,,,17.4,False,4
SAN_A01b,035a,Miconia poeppigii,Melastomataceae,736665.9301,9668350.716,O,10.6,False,,,10.8,False,4
SAN_A01b,036a,Caryocar glabrum,Caryocaraceae,736658.1118,9668359.24,O,15.9,False,,,16.3,False,4
SAN_A01b,037a,,,736651.2695,9668360.209,O,67.7,True,,,,True,4
SAN_A01b,038a,Eschweilera coriacea,Lecythidaceae,736653.2417,9668365.158,O,10.7,False,,,10.9,False,4
SAN_A01b,039a,Licania guianensis,Chrysobalanaceae,736650.2345,9668372.079,O,52.4,False,23.88,31.48,53.5,False,4
SAN_A01b,040a,Lecythis idatimon,Lecythidaceae,736646.7377,9668375.819,O,12.7,False,,,13.0,False,4
SAN_A01b,041a,Micrandra minor,Euphorbiaceae,736646.3822,9668374.429,O,47.7,False,19.6,36.43,49.0,False,4
SAN_A01b,042a,Pouteria gongrijpii,Sapotaceae,736642.9612,9668376.141,O,21.6,False,,,21.5,False,4
SAN_A01b,043a,Eschweilera coriacea,Lecythidaceae,736642.5751,9668382.642,O,65.0,False,22.84,35.65,65.2,False,4
SAN_A01b,044a,,,736642.315,9668383.068,L,14.0,False,,,14.3,False,4
SAN_A01b,045a,Lacunaria jenmanii,Ochnaceae,736641.2788,9668382.843,O,11.6,False,,,11.9,False,4
SAN_A01b,046a,,,736640.0423,9668382.954,L,14.7,False,,,15.2,False,4
SAN_A01b,047a,,,736639.7377,9668381.907,L,13.0,False,,,13.7,False,4
SAN_A01b,048a,Zygia racemosa,Fabaceae,736654.2603,9668364.911,O,,,,,10.2,False,4
SAN_A01b,049a,Rinorea guianensis,Violaceae,736657.6946,9668371.538,O,,,,,10.1,False,4
SAN_A01b,050a,Pouteria gongrijpii,Sapotaceae,736661.8231,9668362.216,O,,,,,10.0,False,4
SAN_A01b,051a,,,736664.6811,9668375.569,L,,,,,10.0,False,4
SAN_A01b,052a,Luehea speciosa,Malvaceae,736668.3058,9668359.643,O,,,,,36.6,False,4
SAN_A01b,001a,Rinorea guianensis,Violaceae,736531.4458,9668608.223,O,17.1,False,6.23,13.99,17.7,False,5
SAN_A01b,001b,Protium hebetatum,Burseraceae,736514.3737,9668601.693,O,39.2,False,,,43.3,False,5
SAN_A01b,002a,Protium paniculatum,Burseraceae,736528.635,9668604.919,O,10.8,False,,,11.8,False,5
SAN_A01b,002b,Eschweilera apiculata,Lecythidaceae,736513.4993,9668597.701,O,42.7,False,,,43.4,False,5
SAN_A01b,003a,Aniba parviflora,Lauraceae,736532.7356,9668601.226,O,57.8,False,14.14,23.91,60.9,False,5
SAN_A01b,003b,Geissospermum sericeum,Apocynaceae,736515.1573,9668595.276,O,42.3,False,,,41.4,False,5
SAN_A01b,004a,,,736533.5871,9668601.671,O,10.2,True,,,,True,5
SAN_A01b,004b,Pouteria guianensis,Sapotaceae,736515.772,9668585.053,O,39.3,False,,,39.5,False,5
SAN_A01b,005a,Pouteria sp.,Sapotaceae,736534.3516,9668602.297,O,10.7,False,,,10.8,False,5
SAN_A01b,005b,Eschweilera apiculata,Lecythidaceae,736527.6455,9668586.093,O,38.5,False,,,38.8,False,5
SAN_A01b,006a,Rinorea guianensis,Violaceae,736536.6221,9668604.28,O,18.1,False,,,18.0,False,5
SAN_A01b,006b,Tachigali myrmecophila,Fabaceae,736527.0407,9668580.8,O,47.0,False,17.22,27.01,49.3,False,5
SAN_A01b,007a,Rinorea guianensis,Violaceae,736536.751,9668595.325,O,12.5,False,,,12.5,False,5
SAN_A01b,007b,Pouteria gongrijpii,Sapotaceae,736503.3708,9668578.781,O,48.6,False,,,50.3,False,5
SAN_A01b,008a,Rinorea guianensis,Violaceae,736533.3633,9668593.934,O,16.0,False,,,15.9,False,5
SAN_A01b,008b,Maytenus myrsinoides,Celastraceae,736519.0146,9668583.548,O,38.0,False,12.62,24.1,38.0,False,5
SAN_A01b,009a,Eschweilera coriacea,Lecythidaceae,736540.0571,9668594.762,O,16.4,False,,,16.6,False,5
SAN_A01b,009b,Geissospermum sericeum,Apocynaceae,736503.265,9668582.617,O,36.9,False,,,37.0,False,5
SAN_A01b,010a,Eschweilera ovata,Lecythidaceae,736532.7937,9668591.2,O,15.5,False,,,14.8,False,5
SAN_A01b,010b,Aniba parviflora,Lauraceae,736495.9962,9668586.641,O,37.3,False,23.19,31.17,37.2,False,5
SAN_A01b,011a,Eschweilera coriacea,Lecythidaceae,736532.6246,9668591.137,O,15.5,False,,,14.2,False,5
SAN_A01b,012a,Brosimum acutifolium,Moraceae,736542.0332,9668590.592,O,60.5,False,27.62,40.11,62.4,False,5
SAN_A01b,013a,Rinorea guianensis,Violaceae,736537.407,9668588.181,O,17.0,False,,,27.4,False,5
SAN_A01b,015a,Eschweilera coriacea,Lecythidaceae,736544.9113,9668584.518,O,40.8,False,,,41.2,False,5
