site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
HUM_A01,113,Euterpe oleracea,Arecaceae,646620.4819,8921290.817,15.7,22.51,18.39,20140701,False,P,2,14.6,14.6,feldpausch_regional,0.18,default,-1.0,15.52,14.48,15.7,False,P,22.51,measured,15.52,22.333240265296194,0.3877,92.2094,36.582,36.582,89.466,35.4409,35.4409,
HUM_A01,114,Euterpe oleracea,Arecaceae,646617.4739,8921292.632,16.2,21.86,20.69,20140701,False,P,2,14.91,14.91,feldpausch_regional,0.18,default,-1.0,16.02,14.8,16.2,False,P,21.86,measured,16.02,21.694480520910396,0.3877,95.2648,39.8737,39.8737,92.5207,38.6679,38.6679,
HUM_A01,115,Cecropia engleriana,Urticaceae,646616.9997,8921291.971,16.0,18.22,14.97,20140701,False,O,2,14.79,14.79,feldpausch_regional,0.18,default,-1.0,15.82,14.68,16.0,False,O,18.22,measured,15.82,18.080035278485205,0.49,77.8392,77.8392,63.8784,75.5681,75.5681,62.0146,
HUM_A01,116,Myrcia velutina,Myrtaceae,646617.8626,8921288.87,34.0,32.62,27.68,20140701,False,O,2,23.81,23.81,feldpausch_regional,0.18,default,-1.0,33.82,23.74,34.0,False,O,32.62,measured,33.82,32.52073154892821,0.8109,598.5051,598.5051,803.0425,590.5763,590.5763,792.404,
HUM_A01,117,Euterpe oleracea,Arecaceae,646622.9059,8921287.311,17.0,29.09,24.24,20140701,False,P,2,15.41,15.41,feldpausch_regional,0.18,default,-1.0,16.82,15.3,17.0,False,P,29.09,measured,16.82,28.8817816368487,0.3877,138.3282,45.5218,45.5218,134.5371,44.2094,44.2094,
HUM_A01,118,Helicostylis sp.,Moraceae,646621.59,8921287.187,18.1,22.45,10.91,20140701,False,O,2,16.07,16.07,feldpausch_regional,0.18,default,-1.0,17.92,15.96,18.1,False,O,22.45,measured,17.92,22.300720299462835,0.643,121.405,121.405,129.8897,118.2866,118.2866,126.5535,
HUM_A01,119,Casearia grandiflora,Salicaceae,646612.702,8921282.512,10.9,19.29,12.1,20140701,False,O,2,11.3,11.3,feldpausch_regional,0.18,default,-1.0,10.72,11.17,10.9,False,O,19.29,measured,10.72,19.060660078332354,0.77,38.9046,38.9046,49.6296,37.2234,37.2234,47.4848,
HUM_A01,120,Platymiscium trinitatis,Fabaceae,646612.6075,8921279.768,21.9,25.55,20.0,20140701,False,O,2,18.21,18.21,feldpausch_regional,0.18,default,-1.0,21.72,18.11,21.9,False,O,25.55,measured,21.72,25.414716787557946,0.864,199.8118,199.8118,285.2219,195.6024,195.6024,279.2133,
HUM_A01,121,Rheedia gardneriana,Clusiaceae,646613.8249,8921277.985,11.0,16.89,10.13,20140701,False,O,2,11.38,11.38,feldpausch_regional,0.18,default,-1.0,10.82,11.24,11.0,False,O,16.89,measured,10.82,16.691232340158265,0.5862,34.7877,34.7877,34.0073,33.2982,33.2982,32.5512,
HUM_A01,122,Galipea sp.,,646612.337,8921276.766,19.1,18.4,11.99,20140701,False,O,2,16.65,16.65,feldpausch_regional,0.18,default,-1.0,18.92,16.55,19.1,False,O,18.4,measured,18.92,18.285196984480113,0.997,111.0453,111.0453,182.285,108.3478,108.3478,177.857,
