site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
SAN_A02,40,Attalea maripa,Arecaceae,738364.6411,9636874.506,41.0,13.09,3.73,False,P,2,26.42,26.42,feldpausch_regional,0.18,default,0.0,41.0,26.42,41.0,False,P,13.09,measured,41.0,13.09,0.326,353.7919,511.6707,511.6707,353.7919,511.6707,511.6707,
SAN_A02,41,Attalea maripa,Arecaceae,738376.6619,9636882.528,43.0,7.87,4.34,False,P,2,27.1,27.1,feldpausch_regional,0.18,default,0.0,43.0,27.1,43.0,False,P,7.87,measured,43.0,7.87,0.326,236.2993,583.2276,583.2276,236.2993,583.2276,583.2276,
SAN_A02,42,Attalea maripa,Arecaceae,738381.3362,9636886.745,47.0,15.03,4.76,False,P,2,28.38,28.38,feldpausch_regional,0.18,default,0.0,47.0,28.38,47.0,False,P,15.03,measured,47.0,15.03,0.326,528.5763,744.7375,744.7375,528.5763,744.7375,744.7375,
SAN_A02,43,Attalea maripa,Arecaceae,738383.6265,9636878.46,36.0,11.81,4.8,False,P,2,24.6,24.6,feldpausch_regional,0.18,default,0.0,36.0,24.6,36.0,False,P,11.81,measured,36.0,11.81,0.326,248.2442,357.9009,357.9009,248.2442,357.9009,357.9009,
SAN_A02,44,Attalea maripa,Arecaceae,738379.8966,9636874.094,46.0,11.63,4.07,False,P,2,28.07,28.07,feldpausch_regional,0.18,default,0.0,46.0,28.07,46.0,False,P,11.63,measured,46.0,11.63,0.326,394.6115,701.995,701.995,394.6115,701.995,701.995,
SAN_A02,45,Attalea maripa,Arecaceae,738376.7381,9636872.608,53.5,12.09,3.58,False,P,2,30.27,30.27,feldpausch_regional,0.18,default,0.0,53.5,30.27,53.5,False,P,12.09,measured,53.5,12.09,0.326,550.3707,1063.1912,1063.1912,550.3707,1063.1912,1063.1912,
SAN_A02,46,Attalea maripa,Arecaceae,738376.7613,9636867.652,43.8,15.02,4.45,False,P,2,27.37,27.37,feldpausch_regional,0.18,default,0.0,43.8,27.37,43.8,False,P,15.02,measured,43.8,15.02,0.326,460.3075,613.5359,613.5359,460.3075,613.5359,613.5359,
SAN_A02,47,,,738379.9069,9636869.14,44.0,13.45,5.24,True,O,2,27.43,27.43,feldpausch_regional,0.18,default,0.0,44.0,27.43,44.0,True,O,13.45,measured,44.0,13.45,0.4713,416.9781,326.7831,326.7831,416.9781,326.7831,326.7831,
SAN_A02,48,Attalea maripa,Arecaceae,738381.9484,9636869.81,41.0,14.63,4.68,False,P,2,26.42,26.42,feldpausch_regional,0.18,default,0.0,41.0,26.42,41.0,False,P,14.63,measured,41.0,14.63,0.326,394.3603,511.6707,511.6707,394.3603,511.6707,511.6707,
SAN_A02,49,Attalea maripa,Arecaceae,738378.2467,9636860.487,36.0,12.16,4.31,False,P,2,24.6,24.6,feldpausch_regional,0.18,default,0.0,36.0,24.6,36.0,False,P,12.16,measured,36.0,12.16,0.326,255.422,357.9009,357.9009,255.422,357.9009,357.9009,
SAN_A02,50,Attalea maripa,Arecaceae,738377.1399,9636854.718,49.8,13.24,4.86,False,P,2,29.22,29.22,feldpausch_regional,0.18,default,0.0,49.8,29.22,49.8,False,P,13.24,measured,49.8,13.24,0.326,522.8957,873.1163,873.1163,522.8957,873.1163,873.1163,
SAN_A02,51,Attalea maripa,Arecaceae,738378.9652,9636854.434,41.3,14.6,5.14,False,P,2,26.53,26.53,feldpausch_regional,0.18,default,0.0,41.3,26.53,41.3,False,P,14.6,measured,41.3,14.6,0.326,399.212,522.0261,522.0261,399.212,522.0261,522.0261,
SAN_A02,52,Attalea maripa,Arecaceae,738374.4021,9636855.144,45.3,11.8,4.04,False,P,2,27.85,27.85,feldpausch_regional,0.18,default,0.0,45.3,27.85,45.3,False,P,11.8,measured,45.3,11.8,0.326,388.4376,673.0253,673.0253,388.4376,673.0253,673.0253,
SAN_A02,53,Attalea maripa,Arecaceae,738366.1884,9636856.421,41.0,12.87,3.73,False,P,2,26.42,26.42,feldpausch_regional,0.18,default,0.0,41.0,26.42,41.0,False,P,12.87,measured,41.0,12.87,0.326,347.9873,511.6707,511.6707,347.9873,511.6707,511.6707,
SAN_A02,54,Attalea maripa,Arecaceae,738366.9911,9636866.207,42.0,11.63,3.66,False,P,2,26.77,26.77,feldpausch_regional,0.18,default,0.0,42.0,26.77,42.0,False,P,11.63,measured,42.0,11.63,0.326,330.4069,546.7046,546.7046,330.4069,546.7046,546.7046,
SAN_A02,55,Attalea maripa,Arecaceae,738358.8067,9636851.62,42.0,12.09,4.39,False,P,2,26.77,26.77,feldpausch_regional,0.18,default,0.0,42.0,26.77,42.0,False,P,12.09,measured,42.0,12.09,0.326,343.1558,546.7046,546.7046,343.1558,546.7046,546.7046,
SAN_A02,56,Vismia guianensis,Hypericaceae,738351.5499,9637012.771,12.8,14.52,8.2,False,O,3,12.67,12.67,feldpausch_regional,0.18,default,0.0,12.8,12.67,12.8,False,O,14.52,measured,12.8,14.52,0.475,40.3473,40.3473,32.1212,40.3473,40.3473,32.1212,
SAN_A02,57,,,738351.5454,9637015.012,10.2,10.17,7.27,True,O,3,10.78,10.78,feldpausch_regional,0.18,default,0.0,10.2,10.78,10.2,True,O,10.17,measured,10.2,10.17,0.4713,18.2976,13.9717,13.9717,18.2976,13.9717,13.9717,
SAN_A02,58,Attalea maripa,Arecaceae,738351.4203,9637025.519,48.0,17.19,6.88,False,P,3,28.69,28.69,feldpausch_regional,0.18,default,0.0,48.0,28.69,48.0,False,P,17.19,measured,48.0,17.19,0.326,627.8745,789.0999,789.0999,627.8745,789.0999,789.0999,
SAN_A02,59,Swartzia corrugata,Fabaceae,738352.7861,9637034.052,12.4,13.48,9.02,False,O,3,12.39,12.39,feldpausch_regional,0.18,default,0.0,12.4,12.39,12.4,False,O,13.48,measured,12.4,13.48,1.0565,35.2693,35.2693,61.2658,35.2693,35.2693,61.2658,
SAN_A02,60,Guatteria schomburgkiana,Annonaceae,738353.122,9637035.942,31.3,16.2,12.09,False,O,3,22.69,22.69,feldpausch_regional,0.18,default,0.0,31.3,22.69,31.3,False,O,16.2,measured,31.3,16.2,0.6,257.1875,257.1875,257.1875,257.1875,257.1875,257.1875,
SAN_A02,61,Helicostylis sp.,Moraceae,738353.3854,9637038.811,17.4,17.05,10.0,False,O,3,15.65,15.65,feldpausch_regional,0.18,default,0.0,17.4,15.65,17.4,False,O,17.05,measured,17.4,17.05,0.643,85.9361,85.9361,91.942,85.9361,85.9361,91.942,
SAN_A02,62,Attalea maripa,Arecaceae,738355.398,9637041.521,42.8,20.3,7.61,False,P,3,27.04,27.04,feldpausch_regional,0.18,default,0.0,42.8,27.04,42.8,False,P,20.3,measured,42.8,20.3,0.326,590.4118,575.8026,575.8026,590.4118,575.8026,575.8026,
SAN_A02,63,Helicostylis sp.,Moraceae,738352.7237,9637042.148,26.6,20.82,15.51,False,O,3,20.58,20.58,feldpausch_regional,0.18,default,0.0,26.6,20.58,26.6,False,O,20.82,measured,26.6,20.82,0.643,239.148,239.148,255.8616,239.148,239.148,255.8616,
SAN_A02,64,Helicostylis sp.,Moraceae,738354.094,9637046.791,14.5,14.34,10.67,False,O,3,13.82,13.82,feldpausch_regional,0.18,default,0.0,14.5,13.82,14.5,False,O,14.34,measured,14.5,14.34,0.643,50.8444,50.8444,54.3978,50.8444,50.8444,54.3978,
SAN_A02,65,Guatteria schomburgkiana,Annonaceae,738354.2266,9637053.368,32.8,23.92,16.76,False,O,3,23.32,23.32,feldpausch_regional,0.18,default,0.0,32.8,23.32,32.8,False,O,23.92,measured,32.8,23.92,0.6,412.2089,412.2089,412.2089,412.2089,412.2089,412.2089,
SAN_A02,66,,,738355.8753,9637053.074,17.8,12.65,,True,O,3,15.89,15.89,feldpausch_regional,0.18,default,0.0,17.8,15.89,17.8,True,O,12.65,measured,17.8,12.65,0.4713,67.1307,50.8639,50.8639,67.1307,50.8639,50.8639,
SAN_A02,67,Helicostylis sp.,Moraceae,738356.8585,9637053.006,13.4,17.91,13.13,False,O,3,13.08,13.08,feldpausch_regional,0.18,default,0.0,13.4,13.08,13.4,False,O,17.91,measured,13.4,17.91,0.643,54.149,54.149,57.9334,54.149,54.149,57.9334,
SAN_A02,68,Attalea maripa,Arecaceae,738356.7977,9637050.97,49.2,20.38,7.82,False,P,3,29.05,29.05,feldpausch_regional,0.18,default,0.0,49.2,29.05,49.2,False,P,20.38,measured,49.2,20.38,0.326,777.9646,844.5092,844.5092,777.9646,844.5092,844.5092,
SAN_A02,69,Attalea maripa,Arecaceae,738366.8484,9637053.438,46.0,23.07,7.93,False,P,3,28.07,28.07,feldpausch_regional,0.18,default,0.0,46.0,28.07,46.0,False,P,23.07,measured,46.0,23.07,0.326,770.0137,701.995,701.995,770.0137,701.995,701.995,
SAN_A02,70,,,738363.6661,9637044.476,39.2,3.65,,True,O,3,25.79,25.79,feldpausch_regional,0.18,default,0.0,39.2,25.79,39.2,True,O,3.65,measured,39.2,3.65,0.4713,93.1865,89.2457,89.2457,93.1865,89.2457,89.2457,
SAN_A02,71,Attalea maripa,Arecaceae,738390.2244,9637024.284,38.0,17.95,7.48,False,P,3,25.35,25.35,feldpausch_regional,0.18,default,0.0,38.0,25.35,38.0,False,P,17.95,measured,38.0,17.95,0.326,415.1119,415.2369,415.2369,415.1119,415.2369,415.2369,
SAN_A02,72,Attalea maripa,Arecaceae,738383.0589,9637048.426,53.2,17.56,8.62,False,P,3,30.18,30.18,feldpausch_regional,0.18,default,0.0,53.2,30.18,53.2,False,P,17.56,measured,53.2,17.56,0.326,783.6031,1046.8866,1046.8866,783.6031,1046.8866,1046.8866,
SAN_A02,73,Attalea maripa,Arecaceae,738390.6671,9637046.064,41.0,19.56,8.3,False,P,3,26.42,26.42,feldpausch_regional,0.18,default,0.0,41.0,26.42,41.0,False,P,19.56,measured,41.0,19.56,0.326,523.5893,511.6707,511.6707,523.5893,511.6707,511.6707,
SAN_A02,74,Attalea maripa,Arecaceae,738395.0031,9637048.272,41.4,23.13,12.18,False,P,3,26.56,26.56,feldpausch_regional,0.18,default,0.0,41.4,26.56,41.4,False,P,23.13,measured,41.4,23.13,0.326,628.4645,525.5073,525.5073,628.4645,525.5073,525.5073,
SAN_A02,75,Attalea maripa,Arecaceae,738387.096,9637016.756,44.0,16.94,9.71,False,P,3,27.43,27.43,feldpausch_regional,0.18,default,0.0,44.0,27.43,44.0,False,P,16.94,measured,44.0,16.94,0.326,522.2757,621.2661,621.2661,522.2757,621.2661,621.2661,
SAN_A02,76,Attalea maripa,Arecaceae,738378.5016,9637017.679,43.0,20.5,10.24,False,P,3,27.1,27.1,feldpausch_regional,0.18,default,0.0,43.0,27.1,43.0,False,P,20.5,measured,43.0,20.5,0.326,601.5377,583.2276,583.2276,601.5377,583.2276,583.2276,
SAN_A02,77,Attalea maripa,Arecaceae,738376.4435,9637003.793,41.0,24.1,11.4,False,P,3,26.42,26.42,feldpausch_regional,0.18,default,0.0,41.0,26.42,41.0,False,P,24.1,measured,41.0,24.1,0.326,641.8941,511.6707,511.6707,641.8941,511.6707,511.6707,
SAN_A02,78,Attalea maripa,Arecaceae,738373.5989,9637004.004,54.0,16.52,11.02,False,P,3,30.4,30.4,feldpausch_regional,0.18,default,0.0,54.0,30.4,54.0,False,P,16.52,measured,54.0,16.52,0.326,760.1007,1090.723,1090.723,760.1007,1090.723,1090.723,
SAN_A02,79,Attalea maripa,Arecaceae,738370.0934,9637006.302,45.5,21.74,7.57,False,P,3,27.91,27.91,feldpausch_regional,0.18,default,0.0,45.5,27.91,45.5,False,P,21.74,measured,45.5,21.74,0.326,711.3187,681.2232,681.2232,711.3187,681.2232,681.2232,
SAN_A02,80,Attalea maripa,Arecaceae,738361.4348,9637013.236,43.0,13.95,7.89,False,P,3,27.1,27.1,feldpausch_regional,0.18,default,0.0,43.0,27.1,43.0,False,P,13.95,measured,43.0,13.95,0.326,413.1384,583.2276,583.2276,413.1384,583.2276,583.2276,
SAN_A02,81,,,738366.2282,9637155.614,18.4,16.66,11.24,False,O,4,16.25,16.25,feldpausch_regional,0.18,default,0.0,18.4,16.25,18.4,False,O,16.66,measured,18.4,16.66,0.4713,93.7001,93.7001,74.0249,93.7001,93.7001,74.0249,
SAN_A02,82,Ceiba pentandra,Malvaceae,738367.0464,9637162.183,12.5,13.75,11.56,False,O,4,12.46,12.46,feldpausch_regional,0.18,default,0.0,12.5,12.46,12.5,False,O,13.75,measured,12.5,13.75,0.3052,36.5269,36.5269,18.8846,36.5269,36.5269,18.8846,
