tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
65,Inga alba,Fabaceae,799309.2212,9725895.148,25.4,False,O,1,20.0,20.0,feldpausch_regional,0.18,default,-2.0,25.04,19.82,25.4,False,O,20.0,feldpausch,25.04,19.823028683971163,0.5861,210.1364,210.1364,205.3876,202.5969,202.5969,198.0184,
1,Jacaranda copaia,Bignoniaceae,799326.2269,9725897.213,12.7,False,O,1,12.6,12.6,feldpausch_regional,0.18,default,-2.0,12.34,12.35,12.7,False,O,12.6,feldpausch,12.34,12.346939344095293,0.3507,34.5977,34.5977,20.4828,32.0678,32.0678,18.985,
2,Vismia latifolia,Hypericaceae,799328.1509,9725898.322,21.2,False,O,1,17.83,17.83,feldpausch_regional,0.18,default,-2.0,20.84,17.63,21.2,False,O,17.83,feldpausch,20.84,17.633154733902426,0.43,132.0055,132.0055,95.3634,126.2895,126.2895,91.234,
3,Vismia latifolia,Hypericaceae,799330.7576,9725901.02,16.1,False,O,1,14.85,14.85,feldpausch_regional,0.18,default,-2.0,15.74,14.62,16.1,False,O,14.85,feldpausch,15.740000000000002,14.622878814173308,0.43,64.5342,64.5342,46.6208,60.8255,60.8255,43.9416,
4,Jacaranda copaia,Bignoniaceae,799329.0708,9725903.375,15.0,False,O,1,14.15,14.15,feldpausch_regional,0.18,default,-2.0,14.64,13.91,15.0,False,O,14.15,feldpausch,14.64,13.915086591517273,0.3507,53.6203,53.6203,31.7446,50.3082,50.3082,29.7838,
5,Tapirira guianensis,Anacardiaceae,799324.8238,9725903.032,17.4,False,O,1,15.65,15.65,feldpausch_regional,0.18,default,-2.0,17.04,15.43,17.4,False,O,15.65,feldpausch,17.04,15.431417602903213,0.457,79.0422,79.0422,60.5984,74.8468,74.8468,57.382,
6,,,799325.1805,9725901.553,10.7,False,O,1,11.15,11.15,feldpausch_regional,0.18,default,-2.0,10.34,10.88,10.7,False,O,11.15,feldpausch,10.34,10.878429139290521,0.5847,21.9765,21.9765,21.4282,20.0675,20.0675,19.5669,
7,Hevea brasiliensis,Euphorbiaceae,799318.1548,9725899.103,30.3,False,O,1,22.26,22.26,feldpausch_regional,0.18,default,-2.0,29.94,22.1,30.3,False,O,22.26,feldpausch,29.94,22.102348523263547,0.4666,329.1708,329.1708,257.5481,319.3567,319.3567,249.8695,
8,,,799315.7545,9725909.958,26.4,False,O,1,20.48,20.48,feldpausch_regional,0.18,default,-2.0,26.04,20.31,26.4,False,O,20.48,feldpausch,26.04,20.3072978184369,0.5847,231.894,231.894,226.1089,223.9032,223.9032,218.3175,
9,Xylopia nitida,Annonaceae,799313.3045,9725916.362,27.2,False,O,1,20.86,20.86,feldpausch_regional,0.18,default,-2.0,26.84,20.69,27.2,False,O,20.86,feldpausch,26.84,20.69055726543763,0.5483,250.2591,250.2591,229.2038,241.9011,241.9011,221.549,
10,Euterpe oleracea,Arecaceae,799312.8873,9725919.681,11.0,False,P,1,11.38,11.38,feldpausch_regional,0.18,default,-2.0,10.64,11.11,11.0,False,P,11.38,feldpausch,10.64,11.111266572550116,0.3877,23.6621,13.7606,13.7606,21.6629,12.558,12.558,
11,Xylopia nitida,Annonaceae,799314.5513,9725920.034,10.3,False,O,1,10.85,10.85,feldpausch_regional,0.18,default,-2.0,9.94,10.58,10.3,False,O,10.85,feldpausch,9.940000000000001,10.57426605405682,0.5483,19.8654,19.8654,18.1941,18.0729,18.0729,16.5523,
12,Hevea brasiliensis,Euphorbiaceae,799314.1093,9725922.008,28.1,False,O,1,21.28,21.28,feldpausch_regional,0.18,default,-2.0,27.74,21.11,28.1,False,O,21.28,feldpausch,27.740000000000002,21.114098440195708,0.4666,271.9166,271.9166,212.7516,263.1403,263.1403,205.8849,
13,Zanthoxylum rhoifolium,Rutaceae,799313.6942,9725922.953,13.4,False,O,1,13.08,13.08,feldpausch_regional,0.18,default,-2.0,13.04,12.84,13.4,False,O,13.08,feldpausch,13.040000000000001,12.832850878590625,0.5692,39.8454,39.8454,37.8511,37.0857,37.0857,35.2295,
