site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,dbh,dead,type,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
JAM_A02,12,Hymenaea courbaril,Fabaceae,498971.3398,8990364.217,0.79,64.0,A,O,0,32.87,64.0,True,O,32.87,feldpausch,2072.6239,1436.0236,0.7924,1436.0236
JAM_A02,13,Helicostylis sp.,Moraceae,498962.4837,8990367.792,0.65,36.3,A,O,0,24.71,36.3,True,O,24.71,feldpausch,518.6116,365.7991,0.643,365.7991
JAM_A02,14,Anacardium spruceanum,Anacardiaceae,498959.8186,8990375.844,0.48,39.0,A,O,0,25.71,39.0,True,O,25.71,feldpausch,620.1238,436.1664,0.4792,436.1664
JAM_A02,15,Qualea paraensis,Vochysiaceae,498944.6126,8990371.145,0.69,99.1,A,O,0,38.85,99.1,True,O,38.85,feldpausch,5728.5156,3947.559,0.6893,3947.559
JAM_A02,16,Tachigali alba,Fabaceae,498957.4042,8990389.891,0.56,38.8,A,O,0,25.64,38.8,True,O,25.64,feldpausch,612.2999,430.7426,0.5573,430.7426
JAM_A02,17,Apeiba echinata,Malvaceae,498936.1576,8990384.312,0.28,38.9,A,O,0,25.68,38.9,True,O,25.68,feldpausch,616.3211,433.5183,0.2822,433.5183
JAM_A02,18,Glycydendron amazonicum,Euphorbiaceae,498959.4007,8990365.853,0.67,64.1,A,O,0,32.89,64.1,True,O,32.89,feldpausch,2080.1847,1441.2316,0.6808,1441.2316
JAM_A02,19,Tachigali alba,Fabaceae,498977.0285,8990349.505,0.56,20.6,A,O,0,17.5,20.6,True,O,17.5,feldpausch,122.556,88.8381,0.5573,88.8381
JAM_A02,20,,,498982.3657,8990243.648,,20.0,D,O,0,17.17,20.0,False,O,17.17,feldpausch,113.5552,113.5552,0.6306,119.201
JAM_A02,20a,Tachigali alba,Fabaceae,498973.9781,8990244.163,0.56,53.2,A,O,0,30.18,53.2,True,O,30.18,feldpausch,1329.3709,925.3224,0.5573,925.3224
JAM_A02,21,Virola sebifera,Myristicaceae,498978.8256,8990236.917,0.45,17.9,A,O,0,15.95,17.9,True,O,15.95,feldpausch,85.099,62.1761,0.4454,62.1761
JAM_A02,22,Eschweilera grandifolia,Lecythidaceae,498978.7237,8990236.822,0.88,11.5,A,O,0,11.75,11.5,True,O,11.75,feldpausch,26.6256,19.9869,0.8314,19.9869
JAM_A02,23,Euterpe oleracea,Arecaceae,498981.0559,8990233.604,0.41,14.1,A,P,0,13.56,14.1,True,P,13.56,feldpausch,45.585,,0.3877,
JAM_A02,24,,,498980.3484,8990233.239,,64.0,D,O,0,32.87,64.0,False,O,32.87,feldpausch,2072.6239,2072.6239,0.6306,2175.6709
JAM_A02,25,Ormosia coccinea,Fabaceae,498982.9034,8990231.111,0.63,14.5,A,O,0,13.82,14.5,True,O,13.82,feldpausch,49.0441,36.2853,0.625,36.2853
JAM_A02,26,Virola elongata,Myristicaceae,498981.7049,8990231.17,0.52,13.1,A,O,0,12.88,13.1,True,O,12.88,feldpausch,37.5536,27.9585,0.5233,27.9585
