site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2010,dead_2010,hcom_2009,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAP_A01,3248,,,726438.11,9664339.21,O,5.3,A,2.74,6.17,20100116-20100213,5.3,A,2.98,3.9,20110704-20110711,500.000640863,6.62,6.17,measured,0.0,observed,-2.0,5.3,6.17,5.3,True,O,6.17,measured,5.3,6.17,0.5819,3.1302,2.5065,2.5065,3.1302,2.5065,2.5065,
TAP_A01,3249,,,726429.91,9664339.57,O,14.7,A,8.53,10.94,20100116-20100213,14.8,A,4.9,11.26,20110704-20110711,500.000640863,14.02,10.94,measured,0.1,observed,-2.0,14.6,10.84,14.7,True,O,10.94,measured,14.5,10.836980533142263,0.5819,40.1001,30.8042,30.8042,38.6831,29.7406,29.7406,
TAP_A01,3250,,,726428.43,9664339.81,O,7.5,A,6.04,7.65,20100116-20100213,7.5,A,5.58,7.36,20110704-20110711,500.000640863,8.6,7.65,measured,0.0,observed,-2.0,7.5,7.65,7.5,True,O,7.65,measured,7.5,7.65,0.5819,7.6039,5.9844,5.9844,7.6039,5.9844,5.9844,
TAP_A01,3251,,,726425.3,9664339.55,O,14.0,A,6.1,10.61,20100116-20100213,14.2,A,7.08,9.3,20110704-20110711,500.000640863,13.62,10.61,measured,0.2,observed,-2.0,13.8,10.41,14.0,True,O,10.61,measured,13.6,10.397987851766091,0.5819,35.3835,27.249,27.249,32.7847,25.2931,25.2931,
TAP_A01,3252,,,726419.76,9664340.55,O,8.9,A,6.42,11.06,20100116-20100213,9.2,A,6.11,8.37,20110704-20110711,500.000640863,10.0,11.06,measured,0.3,observed,-2.0,8.6,10.53,8.9,True,O,11.06,measured,8.3,10.506534706243933,0.5819,15.2186,11.3928,11.3928,12.6312,9.501,9.501,
TAP_A01,3253,,,726415.16,9664340.69,L,6.1,A,,,20100116-20100213,5.9,A,,,20110704-20110711,500.000640863,7.18,7.82,local_fit,0.0,observed,-2.0,5.9,7.82,6.1,True,L,7.18,feldpausch,6.1,7.18,0.5819,4.7753,3.7586,3.7586,4.7753,3.7586,3.7586,
TAP_A01,3254,,,726414.81,9664343.12,O,43.1,A,18.71,22.1,20100116-20100213,43.1,A,14.9,18.0,20110704-20110711,500.000640863,27.14,22.1,measured,0.0,observed,-2.0,43.1,22.1,43.1,True,O,22.1,measured,43.1,22.1,0.5819,650.2602,470.6812,470.6812,650.2602,470.6812,470.6812,
TAP_A01,3255,Theobroma glaucum,Malvaceae,726410.79,9664341.41,O,16.9,A,11.36,15.76,20100116-20100213,17.0,A,10.21,15.47,20110704-20110711,500.000640863,15.41,15.76,measured,0.1,observed,-2.0,16.8,15.64,16.9,True,O,15.76,measured,16.7,15.633755212128285,0.5297,75.1814,54.8825,54.8825,72.8801,53.2398,53.2398,
TAP_A01,3256,,,726407.79,9664341.4,O,8.8,A,6.67,9.16,20100116-20100213,8.9,A,6.48,7.9,20110704-20110711,500.000640863,9.76,9.16,measured,0.1,observed,-2.0,8.7,9.01,8.8,True,O,9.16,measured,8.600000000000001,9.006581197779527,0.5819,12.3851,9.5467,9.5467,11.648,8.9926,8.9926,
TAP_A01,3257,,,726394.96,9664341.45,O,8.2,A,5.62,7.79,20100116-20100213,8.2,A,2.95,6.04,20110704-20110711,500.000640863,9.19,7.79,measured,0.0,observed,-2.0,8.2,7.79,8.2,True,O,7.79,measured,8.2,7.79,0.5819,9.2123,7.2605,7.2605,9.2123,7.2605,7.2605,
