site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
JAM_A02,54,Brosimum rubescens ,Moraceae,498866.6091,8990477.795,0.83,1.014738777,30.5,25.97,15.83,A,O,T01,22.35,30.5,True,O,25.97,measured,387.5597,268.9659,0.8251,268.9659
JAM_A02,55,Brosimum rubescens ,Moraceae,498869.0054,8990477.471,0.83,0.136647772,13.8,17.08,10.78,A,O,T01,13.36,13.8,True,O,17.08,measured,54.7536,39.0834,0.8251,39.0834
JAM_A02,56,Tachigali alba,Fabaceae,498868.782,8990475.473,0.56,1.301682488,37.7,32.11,20.09,A,O,T01,25.24,37.7,True,O,32.11,measured,721.041,488.8481,0.5573,488.8481
JAM_A02,57,Thyrsodium paraense,Anacardiaceae,498870.0151,8990469.761,0.61,0.015577582,7.3,9.36,5.07,A,O,T01,8.43,7.3,True,O,9.36,measured,8.7828,6.6867,0.645,6.6867
JAM_A02,58,Tachigali alba,Fabaceae,498864.759,8990465.013,0.56,2.990236855,62.2,27.1,19.14,A,O,T01,32.46,62.2,True,O,27.1,measured,1623.744,1158.2682,0.5573,1158.2682
JAM_A02,59,Miconia surinamensis,Miconia surinamensis,498869.8849,8990458.661,0.61,0.008227291,8.1,4.02,3.28,A,O,T01,9.1,8.1,True,O,4.02,measured,4.7157,4.1237,0.6228,4.1237
JAM_A02,60,Inga grandis,Fabaceae,498869.6629,8990448.263,0.58,0.036167707,10.7,10.77,6.65,A,O,T01,11.15,10.7,True,O,10.77,measured,21.2452,16.1131,0.5786,16.1131
JAM_A02,61,Sacoglottis guianensis,Humiriaceae,498870.6781,8990449.553,0.84,0.060196563,13.0,8.33,5.78,A,O,T01,12.81,13.0,True,O,8.33,measured,24.1784,19.2767,0.8359,19.2767
JAM_A02,62,Tachigali alba,Fabaceae,498875.5872,8990450.304,0.56,0.791958893,31.2,28.53,19.03,A,O,T01,22.65,31.2,True,O,28.53,measured,444.043,303.9523,0.5573,303.9523
JAM_A02,63,Vochysia guianensis,Vochysiaceae,498873.892,8990450.721,0.51,0.434411178,28.0,21.4,15.4,A,O,T01,21.23,28.0,True,O,21.4,measured,271.517,193.488,0.5087,193.488
JAM_A02,64,Euterpe oleracea,Arecaceae,498871.0945,8990450.949,,0.028059707,11.1,12.78,8.72,A,P,T01,11.45,11.1,True,P,12.78,measured,26.9715,,0.3877,
JAM_A02,65,Guatteria schomburgkiana,Annonaceae,498873.1307,8990454.029,0.6,3.174903382,54.2,35.39,21.59,A,O,T01,30.46,54.2,True,O,35.39,measured,1610.4036,1094.063,0.6,1094.063
JAM_A02,66,Virola melinoni,Myristicaceae,498873.0507,8990455.73,0.48,0.182740096,20.2,18.48,12.44,A,O,T01,17.28,20.2,True,O,18.48,measured,124.3964,89.315,0.4734,89.315
JAM_A02,67,Handroanthus serratifolius,Bignoniaceae,498871.6323,8990479.745,0.62,0.04143377,9.8,13.67,8.65,A,O,T01,10.47,9.8,True,O,13.67,measured,22.5862,16.4275,0.6068,16.4275
JAM_A02,68,Helicostylis sp.,Moraceae,498871.9346,8990479.942,0.65,0.368814746,21.9,23.15,12.85,A,O,T01,18.21,21.9,True,O,23.15,measured,181.4719,126.2265,0.643,126.2265
JAM_A02,69,Pterocarpus sp.,Fabaceae,498872.6733,8990483.235,0.51,0.685513217,33.1,24.0,18.34,A,O,T01,23.44,33.1,True,O,24.0,measured,420.97,296.9807,0.5838,296.9807
JAM_A02,70,Pouteria cladantha,Sapotaceae,498872.7847,8990492.734,0.94,0.833448065,24.4,29.18,18.99,A,O,T01,19.5,24.4,True,O,29.18,measured,280.9111,189.3559,0.9423,189.3559
JAM_A02,71,Tetragastris altissima,Burseraceae,498872.0408,8990506.042,0.71,0.221768515,17.4,20.33,11.45,A,O,T01,15.65,17.4,True,O,20.33,measured,102.0363,71.6497,0.7079,71.6497
JAM_A02,72,Laetia procera,Salicaceae,498873.5466,8990506.527,0.63,1.60367455,39.1,32.56,25.07,A,O,T01,25.75,39.1,True,O,32.56,measured,784.8193,531.8496,0.6481,531.8496
JAM_A02,73,Laetia procera,Salicaceae,498873.2841,8990509.73,0.63,1.562436792,43.3,25.86,19.03,A,O,T01,27.2,43.3,True,O,25.86,measured,764.9103,540.2134,0.6481,540.2134
JAM_A02,74,Helicostylis sp.,Moraceae,498873.2718,8990525.731,0.65,2.154584216,40.8,38.97,17.5,A,O,T01,26.35,40.8,True,O,38.97,measured,1016.3006,670.8065,0.643,670.8065
JAM_A02,75,Sloanea guianensis,Elaeocarpaceae,498877.4916,8990527.389,0.82,1.734665689,40.0,25.94,19.45,A,O,T01,26.07,40.0,True,O,25.94,measured,657.2286,462.1755,0.8212,462.1755
JAM_A02,76,Tetragastris altissima,Burseraceae,498872.6856,8990535.437,0.71,0.226204909,19.3,16.86,11.04,A,O,T01,16.77,19.3,True,O,16.86,measured,104.0595,75.6386,0.7079,75.6386
JAM_A02,77,Tetragastris altissima,Burseraceae,498873.4698,8990551.13,0.71,0.635487368,27.5,23.32,10.33,A,O,T01,21.0,27.5,True,O,23.32,measured,285.0632,200.2289,0.7079,200.2289
JAM_A02,78,Symphonia globulifera,Clusiaceae,498873.9715,8990568.326,0.6,1.523836617,37.5,35.48,22.2,A,O,T01,25.16,37.5,True,O,35.48,measured,786.5996,524.8178,0.6004,524.8178
JAM_A02,79,Qualea paraensis,Vochysiaceae,498873.5299,8990581.831,0.69,0.223076617,18.1,19.41,12.03,A,O,T01,16.07,18.1,True,O,19.41,measured,105.3325,74.6486,0.6893,74.6486
JAM_A02,80,Abuta grandifolia,Menispermaceae,498879.9982,8990604.667,0.45,2.885610024,56.0,40.17,25.14,A,O,T01,30.93,56.0,True,O,40.17,measured,1942.3697,1295.4696,0.45,1295.4696
JAM_A02,81,Apeiba echinata,Malvaceae,498875.2688,8990610.715,0.28,0.855686745,43.6,32.08,16.88,A,O,T01,27.3,43.6,True,O,32.08,measured,956.8042,653.3293,0.2822,653.3293
JAM_A02,82,Cordia scabrifolia,Boraginaceae,498874.2275,8990615.726,0.47,2.133952222,49.5,36.1,24.93,A,O,T01,29.14,49.5,True,O,36.1,measured,1375.4888,927.4932,0.474,927.4932
JAM_A02,83,NI,NI,498872.8276,8990615.74,0.62,0.063413628,14.5,9.56,,A,O,T01,13.82,14.5,True,O,9.56,measured,34.2277,26.8417,0.6068,26.8417
JAM_A02,84,Tachigali alba,Fabaceae,498874.6792,8990654.223,0.56,4.060001178,54.0,48.82,24.37,A,O,T01,30.4,54.0,True,O,48.82,measured,2188.5916,1412.9278,0.5573,1412.9278
JAM_A02,85,Tetragastris altissima,Burseraceae,498873.8897,8990655.131,0.71,0.132046352,15.2,15.86,8.12,A,O,T01,14.28,15.2,True,O,15.86,measured,61.5057,44.6267,0.7079,44.6267
JAM_A02,86,Guatteria olivacea,Annonaceae,498874.0062,8990656.53,0.46,0.65521698,33.2,25.63,19.63,A,O,T01,23.48,33.2,True,O,25.63,measured,451.5032,315.2768,0.4557,315.2768
JAM_A02,87,NI,NI,498875.7874,8990950.8,0.62,0.061657127,14.3,9.55,,A,O,T01,13.69,14.3,True,O,9.55,measured,33.2782,26.084,0.6068,26.084
JAM_A02,88,Nectandra cuspidata,Lauraceae,498873.4233,8990701.811,0.56,0.013163822,6.4,11.27,8.36,A,O,T01,7.64,6.4,True,O,11.27,measured,8.1433,5.9826,0.518,5.9826
JAM_A02,89,Tachigali alba,Fabaceae,498873.9598,8990706.207,0.56,1.244874806,34.6,36.46,22.26,A,O,T01,24.05,34.6,True,O,36.46,measured,690.3515,456.8543,0.5573,456.8543
JAM_A02,90,Apeiba echinata,Malvaceae,498874.9846,8990709.199,0.28,0.538124292,37.3,27.57,17.8,A,O,T01,25.09,37.3,True,O,27.57,measured,608.5589,422.4297,0.2822,422.4297
JAM_A02,91,Tachigali myrmecophila,Fabaceae,498881.4474,8990716.745,0.48,2.727715383,72.9,21.18,,A,O,T01,34.73,72.9,True,O,21.18,measured,1740.2376,1300.5347,0.476,1300.5347
JAM_A02,92,Sterculia pruriens,Malvaceae,498874.0836,8990733.207,0.49,0.013510498,15.8,2.19,,A,O,T01,14.66,15.8,True,O,2.19,measured,9.6053,9.5468,0.4862,9.5468
JAM_A02,93,Parahancornia amapa,Apocynaceae,498874.4836,8990733.204,0.46,0.038251893,18.3,4.88,1.64,A,O,T01,16.19,18.3,True,O,4.88,measured,27.9681,24.6655,0.46,24.6655
JAM_A02,94,Inga thibaudiana,Fabaceae,498874.6001,8990735.203,0.58,0.010669119,9.4,4.12,2.46,A,O,T01,10.16,9.4,True,O,4.12,measured,6.4587,5.6663,0.5786,5.6663
JAM_A02,95,Brosimum rubescens ,Moraceae,498874.6344,8990751.403,0.83,0.426173021,20.1,25.12,16.06,A,O,T01,17.22,20.1,True,O,25.12,measured,166.2335,113.6757,0.8251,113.6757
JAM_A02,96,Tachigali myrmecophila,Fabaceae,498874.3792,8990756.805,0.48,1.669527914,43.7,36.08,20.32,A,O,T01,27.33,43.7,True,O,36.08,measured,1077.8854,722.5474,0.476,722.5474
JAM_A02,97,Eschweilera coriacea,Lecythidaceae,498876.7081,8990760.286,0.85,0.475476657,21.1,24.63,17.01,A,O,T01,17.78,21.1,True,O,24.63,measured,179.279,123.2657,0.8521,123.2657
JAM_A02,98,Tachigali myrmecophila,Fabaceae,498878.4278,8990786.773,0.48,7.421549431,85.7,41.71,24.99,A,O,T01,36.96,85.7,True,O,41.71,measured,4623.7429,3128.7984,0.476,3128.7984
JAM_A02,99,Ormosia grossa,Fabaceae,498874.9279,8990786.802,0.62,0.046005378,11.5,11.01,4.45,A,O,T01,11.75,11.5,True,O,11.01,measured,24.9878,18.9512,0.5906,18.9512
JAM_A02,100,Oenocarpus bataua,Arecaceae,498874.934,8990799.602,,0.107679357,22.9,20.85,14.16,A,P,T01,18.73,22.9,True,P,20.85,measured,178.7751,,0.6815,
JAM_A02,101,Chimarrhis turbinata,Rubiaceae,498874.8688,8990803.803,0.72,0.372006053,23.0,19.19,11.82,A,O,T01,18.79,23.0,True,O,19.19,measured,166.2779,119.4182,0.72,119.4182
JAM_A02,102,Helicostylis sp.,Moraceae,498875.1476,8990813.301,0.65,0.489036308,27.1,20.05,14.89,A,O,T01,20.81,27.1,True,O,20.05,measured,239.0454,171.8413,0.643,171.8413
JAM_A02,103,Pterocarpus sp.,Fabaceae,498875.5683,8990815.798,0.51,1.824853599,50.3,27.66,17.31,A,O,T01,29.37,50.3,True,O,27.66,measured,1094.3824,770.2479,0.5838,770.2479
JAM_A02,104,Orbignya phalerata,Arecaceae,498875.889,8990818.295,,0.169096175,29.2,19.25,9.63,A,P,T01,21.77,29.2,True,P,19.25,measured,265.7617,,0.6068,
JAM_A02,105,Parahancornia sp.,Apocynaceae,498883.2177,8990821.734,0.51,14.00522387,118.0,39.01,25.07,A,O,T01,40.93,118.0,True,O,39.01,measured,8086.528,5615.7195,0.4775,5615.7195
JAM_A02,106,Virola melinoni,Myristicaceae,498875.0523,8990838.003,0.48,0.078367856,15.0,14.37,6.86,A,O,T01,14.15,15.0,True,O,14.37,measured,54.4338,40.0905,0.4734,40.0905
JAM_A02,107,NI,NI,498874.88,8990853.405,0.62,0.008532474,7.3,5.07,4.75,A,O,T01,8.43,7.3,True,O,5.07,measured,4.8279,4.0495,0.6068,4.0495
JAM_A02,108,Bocageopsis multiflora,Annonaceae,498876.2729,8990900.795,0.64,0.406334997,23.2,23.16,14.93,A,O,T01,18.89,23.2,True,O,23.16,measured,203.1786,141.7071,0.6402,141.7071
