site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
FNA_A01,54,,,715664.1985,8617437.789,0.7,0.39753738,32.7,14.18,,20131019,D,O,T01,23.28,23.28,feldpausch_regional,0.18,default,0.0,32.7,23.28,32.7,False,O,14.18,measured,32.7,14.18,0.8064,245.9767,245.9767,328.2736,245.9767,245.9767,328.2736,T01_3
FNA_A01,55,Aspidosperma polyneuron,Apocynaceae,715630.5394,8617446.001,0.75,1.152175556,35.7,23.68,16.28,20131019,A,O,T01,24.48,24.48,feldpausch_regional,0.18,default,0.0,35.7,24.48,35.7,True,O,23.68,measured,35.7,23.68,0.7384,481.5768,341.6962,341.6962,481.5768,341.6962,341.6962,T01_3
FNA_A01,56,,,715606.53,8617557.171,0.58,0.012012961,8.4,6.87,,20131019,D,O,T01,9.35,9.35,feldpausch_regional,0.18,default,0.0,8.4,9.35,8.4,False,O,6.87,measured,8.4,6.87,0.8064,8.5413,8.5413,11.399,8.5413,8.5413,11.399,T01_4
FNA_A01,57,,,715619.5838,8617551.489,0.58,0.02485002,13.0,5.74,,20131019,D,O,T01,12.81,12.81,feldpausch_regional,0.18,default,0.0,13.0,12.81,13.0,False,O,5.74,measured,13.0,5.74,0.8064,16.8103,16.8103,22.4346,16.8103,16.8103,22.4346,T01_4
FNA_A01,58,,,715612.4985,8617557.785,0.58,0.018615218,12.4,4.53,,20131019,D,O,T01,12.39,12.39,feldpausch_regional,0.18,default,0.0,12.4,12.39,12.4,False,O,4.53,measured,12.4,4.53,0.8064,12.1667,12.1667,16.2373,12.1667,12.1667,16.2373,T01_4
FNA_A01,59,Aspidosperma nitidum,Apocynaceae,715605.7332,8617580.875,0.763327689,6.942663921,73.2,33.35,15.98,20131019,A,O,T01,34.79,34.79,feldpausch_regional,0.18,default,0.0,73.2,34.79,73.2,True,O,33.35,measured,73.2,33.35,0.7635,2732.2967,1900.9646,1900.9646,2732.2967,1900.9646,1900.9646,T01_4
FNA_A01,60,,,715611.6163,8617575.759,0.58,0.242378772,33.3,9.32,,20131019,D,O,T01,23.53,23.53,feldpausch_regional,0.18,default,0.0,33.3,23.53,33.3,False,O,9.32,measured,33.3,9.32,0.8064,169.2083,169.2083,225.8207,169.2083,169.2083,225.8207,T01_4
FNA_A01,61,Mezilaurus itauba,Lauraceae,715621.8828,8617574.809,0.720305556,1.714275353,43.4,24.82,13.0,20131019,A,O,T01,27.23,27.23,feldpausch_regional,0.18,default,0.0,43.4,27.23,43.4,True,O,24.82,measured,43.4,24.82,0.7443,738.1883,524.7915,524.7915,738.1883,524.7915,524.7915,T01_4
FNA_A01,62,,,715622.0527,8617567.5,0.58,0.087805111,21.0,8.32,,20131019,D,O,T01,17.72,17.72,feldpausch_regional,0.18,default,0.0,21.0,17.72,21.0,False,O,8.32,measured,21.0,8.32,0.8064,61.5847,61.5847,82.1893,61.5847,61.5847,82.1893,T01_4
FNA_A01,63,,,715628.2549,8617560.41,0.58,0.055640148,17.1,7.87,,20131019,D,O,T01,15.47,15.47,feldpausch_regional,0.18,default,0.0,17.1,15.47,17.1,False,O,7.87,measured,17.1,7.87,0.8064,39.0607,39.0607,52.1294,39.0607,39.0607,52.1294,T01_4
FNA_A01,64,,,715625.1391,8617592.205,0.58,0.633426531,36.3,24.43,,20131019,D,O,T01,24.71,24.71,feldpausch_regional,0.18,default,0.0,36.3,24.71,36.3,False,O,24.43,measured,36.3,24.43,0.8064,512.8752,512.8752,684.4689,512.8752,512.8752,684.4689,T01_4
