site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2016,dead_2016,hcom_2016,htot_2016,dbh_2018,dead_2018,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
SAN_A01b,019a,Pouteria gongrijpii,Sapotaceae,736784.7527,9668121.483,O,25.0,False,,,25.5,False,3,20.05,25.0,False,O,20.05,feldpausch,204.2223,204.2223,0.7994,270.2249
SAN_A01b,020a,,,736791.4415,9668125.406,O,23.3,True,,,,True,3,,23.3,True,O,,feldpausch,,,0.6965,
SAN_A01b,021a,Abarema mataybifolia,Fabaceae,736798.1127,9668122.758,O,25.3,False,,,26.1,False,3,20.34,25.3,False,O,20.34,feldpausch,211.9837,211.9837,0.5668,200.5104
SAN_A01b,022a,Fusaea longifolia,Annonaceae,736795.2839,9668115.252,O,20.8,False,,,21.1,False,3,17.78,20.8,False,O,17.78,feldpausch,126.8393,126.8393,0.7427,156.1971
SAN_A01b,023a,Abarema mataybifolia,Fabaceae,736797.5317,9668115.079,O,24.0,False,,,24.0,False,3,19.3,24.0,False,O,19.3,feldpausch,181.6925,181.6925,0.5668,171.8587
SAN_A01b,024a,Eschweilera coriacea,Lecythidaceae,736795.8173,9668111.913,O,15.0,False,,,15.4,False,3,14.41,15.0,False,O,14.41,feldpausch,54.5817,54.5817,0.8521,76.8638
SAN_A01b,025a,,,736796.4723,9668110.558,O,15.4,False,7.24,10.96,15.4,False,3,14.41,15.4,False,O,10.96,measured,43.9902,43.9902,0.6965,50.8817
SAN_A01b,026a,Eschweilera coriacea,Lecythidaceae,736792.6708,9668111.708,O,18.6,False,,,19.1,False,3,16.65,18.6,False,O,16.65,feldpausch,95.6424,95.6424,0.8521,134.6868
SAN_A01b,027a,Eschweilera micrantha,Lecythidaceae,736790.7789,9668107.763,O,27.3,False,,,27.2,False,3,20.86,27.3,False,O,20.86,feldpausch,252.0583,252.0583,0.86,358.1754
SAN_A01b,028a,Duguetia surinamensis,Annonaceae,736790.2093,9668116.825,O,13.7,False,,,,True,3,,13.7,False,O,,feldpausch,,,0.8,
SAN_A01b,029a,Eschweilera coriacea,Lecythidaceae,736789.6405,9668113.523,O,17.3,False,,,17.5,False,3,15.71,17.3,False,O,15.71,feldpausch,78.4503,78.4503,0.8521,110.4764
SAN_A01b,030a,Nectandra cuspidata,Lauraceae,736786.6999,9668110.655,O,16.1,False,,,16.2,False,3,14.91,16.1,False,O,14.91,feldpausch,64.7887,64.7887,0.518,56.1318
SAN_A01b,031a,Virola elongata,Myristicaceae,736786.6335,9668106.26,O,25.9,False,,,26.2,False,3,20.38,25.9,False,O,20.38,feldpausch,222.3336,222.3336,0.5233,194.5616
SAN_A01b,032a,Pouteria gongrijpii,Sapotaceae,736787.1698,9668105.13,O,17.3,False,,,17.7,False,3,15.83,17.3,False,O,15.83,feldpausch,79.0351,79.0351,0.7994,104.5785
SAN_A01b,033a,,,736779.5416,9668118.944,O,52.2,False,13.71,25.05,52.3,False,3,29.94,52.2,False,O,25.05,measured,1068.0457,1068.0457,0.6965,1235.3656
SAN_A01b,034a,Eschweilera coriacea,Lecythidaceae,736778.7941,9668122.771,O,44.0,False,,,44.6,False,3,27.63,44.0,False,O,27.63,feldpausch,841.9146,841.9146,0.8521,1185.613
SAN_A01b,035a,Micrandra minor,Euphorbiaceae,736777.4999,9668122.126,O,32.5,False,22.1,31.34,32.8,False,3,23.32,32.5,False,O,31.34,measured,527.0473,527.0473,0.41,363.4553
SAN_A01b,036a,Licania guianensis,Chrysobalanaceae,736779.1182,9668128.806,O,17.4,False,,,17.5,False,3,15.71,17.4,False,O,15.71,feldpausch,79.3379,79.3379,0.8165,107.1696
SAN_A01b,037a,Pouteria gongrijpii,Sapotaceae,736775.3285,9668134.529,O,16.4,False,,,16.6,False,3,15.16,16.4,False,O,15.16,feldpausch,68.265,68.265,0.7994,90.3276
SAN_A01b,038a,Licania octandra,Chrysobalanaceae,736772.5637,9668133.664,O,45.6,False,,,45.8,False,3,28.01,45.6,False,O,28.01,feldpausch,914.8242,914.8242,0.825,1248.3061
SAN_A01b,039a,Ocotea cernua,Lauraceae,736771.8625,9668137.37,O,14.0,False,,,14.2,False,3,13.62,14.0,False,O,13.62,feldpausch,45.1502,45.1502,0.4535,34.3561
SAN_A01b,040a,,,736773.5157,9668138.335,O,13.1,True,,,,True,3,,13.1,True,O,,feldpausch,,,0.6965,
