site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,plot_id,quadra_id
FN_A01,29,Cordia scabrifolia,Boraginaceae,707.025.575.412.726,86.427.740.257.235,52.1,28.57,16.51,20150814,False,O,29.88,29.88,feldpausch_regional,0.18,default,2.0,52.46,29.98,52.1,False,O,28.57,measured,52.46,28.665885242149134,0.474,1209.7519,1209.7519,961.1261,1230.1387,1230.1387,977.323,unknown,
FN_A01,30,Trattinnickia burserifolia,Burseraceae,707.026.062.202,864.276.860.572,62.7,27.27,17.38,20150814,False,O,32.57,32.57,feldpausch_regional,0.18,default,2.0,63.06,32.66,62.7,False,O,27.27,measured,63.06,27.339273271598174,0.46,1659.4173,1659.4173,1280.3587,1682.2267,1682.2267,1297.9577,unknown,
FN_A01,31,Sloanea guianensis,Elaeocarpaceae,707.033.545.035.888,864.278.029.731.168,13.9,16.28,10.65,20150814,False,O,13.42,13.42,feldpausch_regional,0.18,default,2.0,14.26,13.66,13.9,False,O,16.28,measured,14.26,16.57161320702594,0.8212,52.9908,52.9908,71.9825,56.6764,56.6764,76.989,unknown,
FN_A01,32,Helicostylis sp.,Moraceae,7.070.360.693.576,8.642.778.171.396,12.6,10.22,7.11,20150814,False,O,12.53,12.53,feldpausch_regional,0.18,default,2.0,12.96,12.78,12.6,False,O,10.22,measured,12.959999999999999,10.424606648986508,0.643,27.7721,27.7721,29.713,29.9152,29.9152,32.0059,unknown,
FN_A01,33,Tetragastris altissima,Burseraceae,707.040.329.861.512,864.278.094.632.832,12.7,10.77,8.63,20150814,False,O,12.6,12.6,feldpausch_regional,0.18,default,2.0,13.06,12.85,12.7,False,O,10.77,measured,13.059999999999999,10.983704223913534,0.7079,29.6844,29.6844,34.8818,31.956,31.956,37.5512,unknown,
FN_A01,34,Maquira coriacea,Moraceae,707.040.366.007.368,864.277.604.592.048,35.0,19.68,15.03,20150814,False,O,24.21,24.21,feldpausch_regional,0.18,default,2.0,35.36,24.35,35.0,False,O,19.68,measured,35.36,19.79462510337316,0.5112,386.7675,386.7675,330.7951,396.8138,396.8138,339.3875,unknown,
FN_A01,35,Maquira coriacea,Moraceae,70.704.563.967.944,86.427.790.297.584,38.3,23.76,16.97,20150814,False,O,25.46,25.46,feldpausch_regional,0.18,default,2.0,38.66,25.59,38.3,False,O,23.76,measured,38.66,23.882727744720647,0.5112,554.231,554.231,474.0235,567.2908,567.2908,485.1933,unknown,
FN_A01,36,Aspidosperma spruceanum,Apocynaceae,70.704.875.642.344,86.427.835.688.124,21.7,22.75,14.36,20150814,False,O,18.1,18.1,feldpausch_regional,0.18,default,2.0,22.06,18.29,21.7,False,O,22.75,measured,22.06,22.99190231839986,0.7533,175.2443,175.2443,218.8305,182.8419,182.8419,228.3177,unknown,
FN_A01,37,Thyrsodium spruceanum,Anacardiaceae,707.051.310.828.144,864.278.787.986.784,40.7,23.72,17.18,20150814,False,O,26.32,26.32,feldpausch_regional,0.18,default,2.0,41.06,26.44,40.7,False,O,23.72,measured,41.06,23.832823369926064,0.64,623.0185,623.0185,663.5245,636.7629,636.7629,678.1625,unknown,
FN_A01,38,Albizia pedicellaris,Fabaceae,7.070.545.906.216,8.642.786.050.836,49.2,30.64,18.55,20150814,False,O,29.05,29.05,feldpausch_regional,0.18,default,2.0,49.56,29.15,49.2,False,O,30.64,measured,49.56,30.751731533731128,0.5446,1158.2289,1158.2289,1053.8218,1179.0105,1179.0105,1072.7301,unknown,
