site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2014,dead_2014,hcom_2014,htot_2014,dbh_2016,dead_2016,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
SAN_A01,44,Pseudopiptadenia suaveolens,Fabaceae,735749.3636,9669964.166,O,63.0,False,28.26,44.77,63.0,False,2,32.64,44.77,measured,0.0,observed,0.0,63.0,44.77,63.0,False,O,44.77,measured,63.0,44.77,0.6797,2717.2953,2717.2953,3069.1053,2717.2953,2717.2953,3069.1053,
SAN_A01,45,Jacaranda copaia,Bignoniaceae,735606.0347,9669962.225,O,18.2,False,18.85,21.37,18.8,False,3,16.48,21.37,measured,0.3,observed,0.0,18.8,21.37,18.2,False,O,21.37,measured,18.2,21.37,0.3507,116.9524,116.9524,69.239,116.9524,116.9524,69.239,
SAN_A01,46,Schefflera morototoni,Araliaceae,735605.5713,9669966.478,O,11.9,False,15.04,17.69,12.7,False,3,12.6,17.69,measured,0.4,observed,0.0,12.7,17.69,11.9,False,O,17.69,measured,11.9,17.69,0.4559,42.4337,42.4337,32.4584,42.4337,42.4337,32.4584,
SAN_A01,47,Jacaranda copaia,Bignoniaceae,735600.43,9669963.302,O,12.5,False,16.48,19.24,12.7,False,3,12.6,19.24,measured,0.1,observed,0.0,12.7,19.24,12.5,False,O,19.24,measured,12.5,19.24,0.3507,50.7006,50.7006,30.0161,50.7006,50.7006,30.0161,
SAN_A01,48,Cecropia ficifolia,Urticaceae,735600.4912,9669962.978,O,15.7,False,12.95,15.23,17.6,False,3,15.77,15.23,measured,0.95,observed,0.0,17.6,15.23,15.7,False,O,15.23,measured,15.7,15.23,0.266,62.9755,62.9755,28.4696,62.9755,62.9755,28.4696,
SAN_A01,49,Cecropia ficifolia,Urticaceae,735599.4525,9669964.806,O,27.4,False,13.67,29.04,32.2,False,3,23.07,29.04,measured,2.4,observed,0.0,32.2,29.04,27.4,False,O,29.04,measured,27.4,29.04,0.266,350.6182,350.6182,158.5051,350.6182,350.6182,158.5051,
SAN_A01,50,Helicostylis sp.,Moraceae,735593.2042,9669965.241,O,30.6,False,19.53,25.03,31.2,False,3,22.65,25.03,measured,0.3,observed,0.0,31.2,25.03,30.6,False,O,25.03,measured,30.6,25.03,0.643,376.2588,376.2588,402.5548,376.2588,376.2588,402.5548,
SAN_A01,51,Helicostylis sp.,Moraceae,735594.8494,9669966.922,O,38.3,False,20.64,27.59,39.3,False,3,25.82,27.59,measured,0.5,observed,0.0,39.3,27.59,38.3,False,O,27.59,measured,38.3,27.59,0.643,641.2662,641.2662,686.083,641.2662,641.2662,686.083,
SAN_A01,52,Minquartia guianensis,Olacaceae,735601.1379,9669962.89,O,35.9,False,6.67,18.18,36.6,False,3,24.82,18.18,measured,0.35,observed,0.0,36.6,18.18,35.9,False,O,18.18,measured,35.9,18.18,0.7867,376.1566,376.1566,490.0163,376.1566,376.1566,490.0163,
SAN_A01,53,Iryanthera paraensis,Myristicaceae,735583.9456,9669966.618,O,26.2,False,16.9,22.91,26.5,False,3,20.53,22.91,measured,0.15,observed,0.0,26.5,22.91,26.2,False,O,22.91,measured,26.2,22.91,0.65,254.8997,254.8997,275.6114,254.8997,254.8997,275.6114,
SAN_A01,54,Pouteria sp.,Sapotaceae,735578.3174,9669965.988,O,26.9,False,12.42,22.75,27.0,False,3,20.76,22.75,measured,0.05,observed,0.0,27.0,22.75,26.9,False,O,22.75,measured,26.9,22.75,0.7187,266.533,266.533,317.8942,266.533,266.533,317.8942,
SAN_A01,55,Pouteria guianensis,Sapotaceae,735577.4535,9669967.401,O,16.7,False,15.77,21.8,17.1,False,3,15.47,21.8,measured,0.2,observed,0.0,17.1,21.8,16.7,False,O,21.8,measured,16.7,21.8,0.9295,100.8177,100.8177,154.5513,100.8177,100.8177,154.5513,
SAN_A01,56,Neea oppositifolia,Nyctaginaceae,735573.3282,9669966.666,O,14.5,False,10.31,16.86,14.8,False,3,14.02,16.86,measured,0.15,observed,0.0,14.8,16.86,14.5,False,O,16.86,measured,14.5,16.86,0.893,59.5476,59.5476,87.7848,59.5476,59.5476,87.7848,
SAN_A01,57,Pourouma villosa,Urticaceae,735571.6725,9669967.108,O,32.7,False,16.2,26.3,33.7,False,3,23.69,26.3,measured,0.5,observed,0.0,33.7,26.3,32.7,False,O,26.3,measured,32.7,26.3,0.34,449.5052,449.5052,258.2156,449.5052,449.5052,258.2156,
SAN_A01,58,Inga thibaudiana,Fabaceae,735565.5367,9669970.784,O,11.2,False,14.53,19.59,11.2,False,3,11.53,19.59,measured,0.0,observed,0.0,11.2,19.59,11.2,False,O,19.59,measured,11.2,19.59,0.5786,41.6447,41.6447,40.1917,41.6447,41.6447,40.1917,
SAN_A01,59,Cecropia ficifolia,Urticaceae,735561.8718,9669968.221,O,17.9,False,18.01,23.05,17.7,False,3,15.83,23.05,measured,0.0,observed,0.0,17.7,23.05,17.9,False,O,23.05,measured,17.9,23.05,0.266,121.898,121.898,55.1068,121.898,121.898,55.1068,
SAN_A01,60,Cecropia ficifolia,Urticaceae,735562.3879,9669972.208,O,33.9,False,21.43,29.24,33.7,False,3,23.69,29.24,measured,0.0,observed,0.0,33.7,29.24,33.9,False,O,29.24,measured,33.9,29.24,0.266,534.816,534.816,241.776,534.816,534.816,241.776,
SAN_A01,61,Inga thibaudiana,Fabaceae,735563.0223,9670019.603,O,11.5,False,4.96,8.39,11.9,False,3,12.03,8.39,measured,0.2,observed,0.0,11.9,8.39,11.5,False,O,8.39,measured,11.5,8.39,0.5786,19.1661,19.1661,18.4974,19.1661,19.1661,18.4974,
SAN_A01,62,Diplotropis sp.,Fabaceae,735574.7006,9669982.726,O,52.0,False,21.99,32.08,52.0,False,3,29.85,32.08,measured,0.0,observed,0.0,52.0,32.08,52.0,False,O,32.08,measured,52.0,32.08,0.7378,1349.5344,1349.5344,1651.1546,1349.5344,1349.5344,1651.1546,
SAN_A01,63,,,735566.3192,9669994.933,O,68.7,True,0.98,3.81,,True,3,,3.81,measured,0.25,site_median,0.0,,3.81,68.7,True,O,3.81,measured,68.7,3.81,0.5942,290.5247,283.9027,283.9027,290.5247,283.9027,283.9027,
SAN_A01,64,Cecropia ficifolia,Urticaceae,735579.0317,9670014.488,O,35.0,False,20.32,31.48,35.0,False,3,24.21,31.48,measured,0.0,observed,0.0,35.0,31.48,35.0,False,O,31.48,measured,35.0,31.48,0.266,611.7351,611.7351,276.5491,611.7351,611.7351,276.5491,
SAN_A01,65,Lecythis idatimon,Lecythidaceae,735574.9454,9670015.233,O,37.0,False,18.39,23.01,38.0,False,3,25.35,23.01,measured,0.5,observed,0.0,38.0,23.01,37.0,False,O,23.01,measured,37.0,23.01,0.7986,502.1357,502.1357,663.7487,502.1357,502.1357,663.7487,
SAN_A01,66,Inga thibaudiana,Fabaceae,735570.7023,9670010.558,O,37.9,False,17.96,24.39,40.0,False,3,26.07,24.39,measured,1.05,observed,0.0,40.0,24.39,37.9,False,O,24.39,measured,37.9,24.39,0.5786,557.0358,557.0358,537.6004,557.0358,557.0358,537.6004,
SAN_A01,68,Astronium graveolens,Anacardiaceae,735585.7353,9670005.736,O,61.3,False,26.39,38.2,63.4,False,3,32.73,38.2,measured,1.05,observed,0.0,63.4,38.2,61.3,False,O,38.2,measured,61.3,38.2,0.8677,2206.3651,2206.3651,3162.6179,2206.3651,2206.3651,3162.6179,
