site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
FST_A01,89,Jacaranda copaia,Bignoniaceae,587348.0562,9822214.635,0.353578132,0.050743601,13.2,16.18,13.41,A,O,4,12.95,13.2,True,O,16.18,measured,47.6194,34.2099,0.3507,34.2099
FST_A01,90,,,587358.4795,9822226.071,0.6,0.967593603,40.0,31.04,,D,O,4,26.07,40.0,False,O,31.04,measured,783.0642,783.0642,0.6997,909.7595
FST_A01,92,Geissospermum sericeum,Apocynaceae,587401.7332,9822227.412,0.782,2.626395911,55.1,21.73,16.76,A,O,4,30.7,55.1,True,O,21.73,measured,1033.1393,758.713,0.7823,758.713
FST_A01,93,Tachigali alba,Fabaceae,587403.0683,9822219.491,0.560284357,1.306050634,42.5,25.35,14.12,A,O,4,26.93,42.5,True,O,25.35,measured,723.3665,512.0252,0.5573,512.0252
FST_A01,1,Eschweilera coriacea,Lecythidaceae,587316.4276,9820665.597,0.852013744,0.11531968,13.2,15.26,3.38,A,O,1,12.95,13.2,True,O,15.26,measured,44.9749,32.6103,0.8521,32.6103
FST_A01,2,Inga marginata,Fabaceae,587312.8833,9820672.1,0.573055556,2.332162803,48.7,33.71,26.07,A,O,1,28.9,48.7,True,O,33.71,measured,1246.2632,848.8365,0.5518,848.8365
FST_A01,3,Ocotea canaliculata,Lauraceae,587315.8723,9820675.596,0.479426667,1.844333196,47.9,32.94,21.2,A,O,1,28.66,47.9,True,O,32.94,measured,1179.7061,805.8021,0.4793,805.8021
FST_A01,4,,,587309.9289,9820677.771,0.58,4.625031326,86.0,33.7,,D,O,1,37.01,86.0,False,O,33.7,measured,3780.6672,3780.6672,0.6997,4392.3571
FST_A01,5,Pouteria gongrijpii,Sapotaceae,587305.8853,9820671.672,0.799402922,0.123005012,13.0,17.89,11.48,A,O,1,12.81,13.0,True,O,17.89,measured,50.983,36.0231,0.7994,36.0231
FST_A01,6,Maquira sclerophylla,Moraceae,587301.8912,9820678.104,0.53,1.144431722,36.0,32.73,24.5,A,O,1,24.6,36.0,True,O,32.73,measured,671.3523,452.7832,0.5135,452.7832
FST_A01,7,Hevea sp.,Euphorbiaceae,587302.3307,9820687.137,0.515536777,0.957870808,36.0,28.17,18.45,A,O,1,24.6,36.0,True,O,28.17,measured,579.9027,400.4886,0.5029,400.4886
FST_A01,8,Aspidosperma nitidum,Apocynaceae,587299.2063,9820694.892,0.763327689,6.460305927,74.8,29.72,17.5,A,O,1,35.09,74.8,True,O,29.72,measured,2546.902,1806.4111,0.7635,1806.4111
FST_A01,9,Manilkara huberi,Sapotaceae,587292.0836,9820688.841,0.93,2.472988071,37.5,37.15,27.5,A,O,1,25.16,37.5,True,O,37.15,measured,822.7152,544.9395,0.9214,544.9395
FST_A01,10,Manilkara amazonica,Sapotaceae,587287.6347,9820692.764,0.883636668,7.484152333,62.1,43.15,27.77,A,O,1,32.43,62.1,True,O,43.15,measured,2548.6885,1689.1062,0.8854,1689.1062
FST_A01,11,Mouriri collocarpa,Melastomataceae,587291.0143,9820680.897,0.833333333,0.123215938,13.5,15.94,9.63,A,O,1,13.15,13.5,True,O,15.94,measured,49.0344,35.3478,0.8333,35.3478
FST_A01,12,Pouteria sp.,Sapotaceae,587281.9867,9820684.636,0.781766198,2.715075494,46.3,31.83,16.67,A,O,1,28.17,46.3,True,O,31.83,measured,1067.6855,732.0518,0.7187,732.0518
FST_A01,13,Protium paniculatum,Burseraceae,587282.7764,9820686.472,0.49,0.203909249,18.4,24.15,19.3,A,O,1,16.25,18.4,True,O,24.15,measured,134.6208,92.2404,0.49,92.2404
